XDAC V1.2 Datafile V1
"fe.060" created on 10/3/02 at 10:20:36 PM on X-11A
Ring energy= 2.58 GeV
E0= 7112.00
NUM_REGIONS= 3
SRB= -200 -20 20 22k
SRSS= 5 0.5 0.05k
SPP= 2 2 2
Settling time= 0.50


Offsets= 9925.80 9914.40
Gains= 7.00 7.00
Iron foil, I0: 50%N2, It:N2


--------------------------------------------------------------------------------
        Energy    Enkev         I0            It
    6911.98862    6.91198862    41410.4000    39622.2000
    6916.99353    6.91699353    41396.4000    39720.2000
    6922.00600    6.92200600    41300.4000    39729.2000
    6927.00070    6.92700070    41247.4000    39769.2000
    6932.00293    6.93200293    41157.4000    39791.2000
    6937.01271    6.93701271    40865.4000    39605.2000
    6942.00457    6.94200457    41042.4000    39881.2000
    6947.00394    6.94700394    40979.4000    39936.2000
    6952.01083    6.95201083    40879.4000    39941.2000
    6956.99966    6.95699966    40833.4000    40000.2000
    6961.99597    6.96199597    40790.4000    40064.2000
    6966.99978    6.96699978    40742.4000    40135.2000
    6972.01110    6.97201110    40563.4000    40062.2000
    6977.00420    6.97700420    40481.4000    40096.2000
    6982.00476    6.98200476    40311.4000    40025.2000
    6987.01281    6.98701281    40110.4000    39929.2000
    6992.00249    6.99200249    40043.4000    39964.2000
    6996.99961    6.99699961    39948.4000    39975.2000
    7002.00419    7.00200419    39859.4000    39976.2000
    7006.99026    7.00699026    39752.4000    39974.2000
    7012.00977    7.01200977    39618.4000    39949.2000
    7017.01072    7.01701072    39448.4000    39871.2000
    7021.99301    7.02199301    39383.4000    39900.2000
    7027.00883    7.02700883    39225.4000    39839.2000
    7032.00595    7.03200595    39077.4000    39780.2000
    7037.01049    7.03701049    38931.4000    39730.2000
    7041.99620    7.04199620    38754.4000    39635.2000
    7046.98928    7.04698928    38104.4000    39057.2000
    7051.98975    7.05198975    38285.4000    39313.2000
    7056.99763    7.05699763    38021.4000    39128.2000
    7062.01293    7.06201293    37746.4000    38915.2000
    7067.00921    7.06700921    37451.4000    38671.2000
    7072.01286    7.07201286    37019.4000    38265.2000
    7076.99738    7.07699738    37350.4000    38655.2000
    7081.98922    7.08198922    37201.4000    38501.2000
    7086.98841    7.08698841    37121.4000    38388.2000
    7091.99496    7.09199496    37124.4000    38274.2000
    7092.50135    7.09250135    37120.4000    38247.2000
    7093.00782    7.09300782    37136.4000    38253.2000
    7093.48770    7.09348770    37136.4000    38227.2000
    7093.99431    7.09399431    37132.4000    38187.2000
    7094.50100    7.09450100    37133.4000    38165.2000
    7095.00777    7.09500777    37124.4000    38121.2000
    7095.48793    7.09548793    37130.4000    38093.2000
    7095.99484    7.09599484    37125.4000    38050.2000
    7096.50183    7.09650183    37148.4000    38024.2000
    7097.00889    7.09700889    37159.4000    37982.2000
    7097.48933    7.09748933    37147.4000    37913.2000
    7097.99654    7.09799654    37146.4000    37835.2000
    7098.50383    7.09850383    37147.4000    37760.2000
    7099.01119    7.09901119    37137.4000    37668.2000
    7099.49192    7.09949192    37159.4000    37587.2000
    7099.99942    7.09999942    37134.4000    37434.2000
    7100.50701    7.10050701    37103.4000    37260.2000
    7100.98794    7.10098794    37084.4000    37078.2000
    7101.49568    7.10149568    37145.4000    36901.2000
    7102.00348    7.10200348    37005.4000    36505.2000
    7102.51136    7.10251136    36946.4000    36038.2000
    7102.99258    7.10299258    37032.4000    35603.2000
    7103.50061    7.10350061    37078.4000    34772.2000
    7104.00872    7.10400872    37062.4000    33255.2000
    7104.49015    7.10449015    37048.4000    31037.2000
    7104.99840    7.10499840    37027.4000    27149.2000
    7105.50673    7.10550673    36996.4000    23619.2000
    7105.98838    7.10598838    36964.4000    20828.2000
    7106.49685    7.10649685    36951.4000    18917.2000
    7107.00541    7.10700541    36951.4000    17605.2000
    7107.48726    7.10748726    36949.4000    16485.2000
