# S Data File C1s K Edge											
#------------------
#eV	Norm
275.83	-0.001756
274.87	0.00095341
274.97	-0.0028738
275.1	-0.0014604
275.19	-0.0011729
275.29	-0.0029696
275.38	-0.0025556
275.49	-0.0023094
275.58	-0.0027391
275.68	-0.00030236
275.76	-0.00041832
275.89	-0.0030417
275.99	-0.0011031
276.09	-0.00029426
276.19	-0.0018977
276.28	-0.0013665
276.38	-0.00051702
276.49	-0.0024714
276.58	-0.0028516
276.68	0.0019144
276.77	-0.00022764
276.88	-0.0019184
276.98	0.0013644
277.08	-0.00031785
277.17	4.30E-05
277.27	0.00027229
277.37	-0.00088902
277.48	-0.00060665
277.58	-5.12E-05
277.68	0.00071247
277.78	0.0019917
277.88	-0.0019942
277.97	0.0031483
278.07	0.0021094
278.18	-0.00023179
278.26	0.0017131
278.38	-0.00048848
278.48	0.0016741
278.58	0.0020948
278.68	-0.00019404
278.77	-0.0029122
278.87	0.0012438
278.96	0.0019372
279.07	-0.0017273
279.17	0.0030833
279.28	-0.0021669
279.35	0.00053382
279.46	-0.00061272
279.58	0.0042665
279.67	-0.0010533
279.75	0.00083057
279.86	0.0014686
279.97	-0.0001052
280.06	0.0010029
280.16	0.0046544
280.27	0.001028
280.35	-4.69E-05
280.46	0.0044458
280.56	0.0022476
280.66	0.0016896
280.76	0.003431
280.86	0.0038765
280.96	0.0012344
281.05	0.003628
281.17	0.00477
281.26	0.0054546
281.35	0.0056799
281.46	0.004665
281.55	0.0055362
281.66	0.0074943
281.76	0.0065766
281.87	0.010452
281.95	0.011154
282.06	0.011888
282.14	0.013913
282.25	0.013266
282.36	0.017908
282.46	0.021512
282.56	0.023459
282.66	0.026318
282.76	0.03308
282.86	0.032041
282.94	0.03784
283.06	0.045755
283.15	0.060819
283.24	0.074274
283.34	0.098824
283.46	0.13039
283.56	0.17349
283.66	0.22834
283.75	0.28042
283.86	0.37824
283.95	0.459
284.05	0.53751
284.16	0.65769
284.26	0.74088
284.35	0.83574
284.46	0.96634
284.55	1.0362
284.64	1.0819
284.75	1.1241
284.84	1.1433
284.96	1.144
285.05	1.1094
285.14	1.0999
285.25	1.0593
285.33	1.0448
285.45	1.0344
285.54	1.0108
285.64	0.99554
285.74	1.0084
285.85	1.0681
285.94	1.1253
286.04	1.2479
286.14	1.3725
286.24	1.5017
286.34	1.614
286.45	1.7076
286.53	1.7283
286.64	1.6608
286.76	1.5938
286.84	1.5219
286.93	1.4639
287.05	1.3909
287.15	1.345
287.24	1.3199
287.33	1.31
287.44	1.3011
287.55	1.2969
287.65	1.2917
287.73	1.3108
287.84	1.3298
287.93	1.3488
288.04	1.3917
288.14	1.4285
288.24	1.467
288.35	1.4836
288.45	1.4972
288.55	1.4969
288.63	1.4918
288.75	1.5043
288.82	1.4935
288.93	1.5264
289.03	1.5349
289.13	1.5618
289.24	1.5862
289.33	1.61
289.44	1.6424
289.53	1.6765
289.64	1.714
289.73	1.7343
289.83	1.779
289.93	1.8151
290.03	1.8655
290.15	1.9197
290.24	1.9402
290.32	1.9828
290.44	2.0101
290.53	2.0391
290.62	2.0425
290.74	2.0759
290.84	2.0957
290.93	2.1161
291.03	2.1348
291.13	2.152
291.23	2.1611
291.33	2.1985
291.43	2.1957
291.53	2.2062
291.62	2.2008
291.73	2.2145
291.84	2.2294
291.93	2.2315
292.03	2.2374
292.13	2.2442
292.23	2.2412
292.33	2.2473
292.42	2.2583
292.52	2.2644
292.63	2.2629
292.73	2.266
292.84	2.2882
292.93	2.2669
293.04	2.271
293.13	2.2835
293.24	2.2782
293.31	2.2903
293.42	2.2935
293.52	2.2968
293.62	2.2953
293.73	2.2977
293.82	2.2979
293.92	2.2929
294.04	2.2907
294.13	2.2815
294.22	2.2767
294.32	2.2967
294.42	2.2907
294.53	2.2744
294.62	2.2767
294.72	2.2764
294.82	2.2818
294.92	2.2947
295.02	2.2793
295.11	2.2799
295.21	2.2703
295.32	2.2847
295.43	2.2737
295.52	2.2719
295.63	2.2785
295.73	2.2735
295.82	2.2742
295.91	2.2743
296.01	2.2682
296.11	2.2667
296.22	2.2695
296.33	2.2579
296.43	2.2507
296.53	2.2675
296.61	2.2651
296.72	2.2567
296.82	2.2529
296.91	2.2522
297.01	2.2396
297.11	2.2471
297.22	2.2329
297.32	2.232
297.42	2.2201
297.52	2.2153
297.61	2.223
297.72	2.2118
297.82	2.211
297.91	2.2069
298.01	2.1983
298.11	2.1888
298.21	2.1768
298.3	2.1762
298.41	2.1721
298.51	2.1612
298.61	2.1625
298.7	2.1492
298.8	2.1424
298.92	2.1252
299.01	2.1335
299.12	2.1199
299.21	2.1122
299.3	2.1117
299.41	2.0967
299.51	2.0838
299.6	2.0993
299.71	2.0877
299.81	2.0715
299.91	2.0745
300.02	2.0584
300.11	2.0568
300.22	2.0542
300.32	2.0417
300.41	2.0439
300.51	2.0261
300.6	2.0343
300.71	2.0153
300.83	2.006
300.91	2.0115
301	1.994
301.1	1.9908
301.2	1.9987
