, 0 
 1 , 1.246214 
 2 , 1.255173 
 3 , 1.260468 
 4 , 1.25723 
 5 , 1.255523 
 6 , 1.262717 
 7 , 1.258016 
 8 , 1.25716 
 9 , 1.26257 
 10 , 1.263631 
 11 , 1.263158 
 12 , 1.267536 
 13 , 1.266006 
 14 , 1.266132 
 15 , 1.265314 
 16 , 1.264084 
 17 , 1.267241 
 18 , 1.269266 
 19 , 1.274042 
 20 , 1.271585 
 21 , 1.273338 
 22 , 1.273379 
 23 , 1.273272 
 24 , 1.273338 
 25 , 1.281147 
 26 , 1.282367 
 27 , 1.278642 
 28 , 1.280265 
 29 , 1.278756 
 30 , 1.278275 
 31 , 1.277856 
 32 , 1.281719 
 33 , 1.2803 
 34 , 1.280812 
 35 , 1.286675 
 36 , 1.287854 
 37 , 1.283831 
 38 , 1.2855 
 39 , 1.290834 
 40 , 1.285638 
 41 , 1.28917 
 42 , 1.295206 
 43 , 1.292961 
 44 , 1.289675 
 45 , 1.292609 
 46 , 1.291711 
 47 , 1.292694 
 48 , 1.294771 
 49 , 1.299234 
 50 , 1.299825 
 51 , 1.300558 
 52 , 1.30114 
 53 , 1.29801 
 54 , 1.298109 
 55 , 1.297241 
 56 , 1.295399 
 57 , 1.292019 
 58 , 1.301368 
 59 , 1.296524 
 60 , 1.294117 
 61 , 1.300727 
 62 , 1.301415 
 63 , 1.298164 
 64 , 1.297977 
 65 , 1.302878 
 66 , 1.298702 
 67 , 1.296724 
 68 , 1.300389 
 69 , 1.298467 
 70 , 1.290945 
 71 , 1.294322 
 72 , 1.296926 
 73 , 1.294201 
 74 , 1.297172 
 75 , 1.297746 
 76 , 1.296604 
 77 , 1.294929 
 78 , 1.294763 
 79 , 1.293424 
 80 , 1.293618 
 81 , 1.295967 
 82 , 1.294507 
 83 , 1.294777 
 84 , 1.295478 
 85 , 1.292331 
 86 , 1.28741 
 87 , 1.291125 
 88 , 1.291831 
 89 , 1.289525 
 90 , 1.28773 
 91 , 1.290997 
 92 , 1.287712 
 93 , 1.28693 
 94 , 1.289891 
 95 , 1.292495 
 96 , 1.287129 
 97 , 1.291267 
 98 , 1.296984 
 99 , 1.286655 
 100 , 1.28819 
 101 , 1.295255 
 102 , 1.292046 
 103 , 1.285923 
 104 , 1.292908 
 105 , 1.294233 
 106 , 1.288795 
 107 , 1.292337 
 108 , 1.289992 
 109 , 1.28747 
 110 , 1.287486 
 111 , 1.289763 
 112 , 1.289565 
 113 , 1.291721 
 114 , 1.289498 
 115 , 1.290197 
 116 , 1.287942 
 117 , 1.29244 
 118 , 1.291756 
 119 , 1.289498 
 120 , 1.292619 
 121 , 1.293347 
 122 , 1.291227 
 123 , 1.288327 
 124 , 1.291314 
 125 , 1.286926 
 126 , 1.289058 
 127 , 1.293658 
 128 , 1.289697 
 129 , 1.288536 
 130 , 1.291822 
 131 , 1.297228 
 132 , 1.292101 
 133 , 1.29691 
 134 , 1.302605 
 135 , 1.30082 
 136 , 1.299236 
 137 , 1.309905 
 138 , 1.307497 
 139 , 1.306187 
 140 , 1.31121 
 141 , 1.314282 
 142 , 1.315792 
 143 , 1.323774 
 144 , 1.325087 
 145 , 1.326641 
 146 , 1.330451 
 147 , 1.332534 
 148 , 1.334746 
 149 , 1.334775 
 150 , 1.338709 
 151 , 1.341083 
 152 , 1.339288 
 153 , 1.343172 
 154 , 1.344016 
 155 , 1.34411 
 156 , 1.346184 
 157 , 1.350693 
 158 , 1.345213 
 159 , 1.348845 
 160 , 1.354335 
 161 , 1.353844 
 162 , 1.351564 
 163 , 1.350366 
 164 , 1.353361 
 165 , 1.346405 
 166 , 1.346685 
 167 , 1.353306 
 168 , 1.349787 
 169 , 1.345394 
 170 , 1.354616 
 171 , 1.349646 
 172 , 1.345495 
 173 , 1.34892 
 174 , 1.348476 
 175 , 1.345478 
 176 , 1.347982 
 177 , 1.348455 
 178 , 1.346617 
 179 , 1.344921 
 180 , 1.340569 
 181 , 1.339787 
 182 , 1.340032 
 183 , 1.342983 
 184 , 1.337598 
 185 , 1.33647 
 186 , 1.336829 
 187 , 1.335394 
 188 , 1.338268 
 189 , 1.337056 
 190 , 1.338741 
 191 , 1.334189 
 192 , 1.336477 
 193 , 1.33612 
 194 , 1.329963 
 195 , 1.327358 
 196 , 1.331516 
 197 , 1.326068 
 198 , 1.322283 
 199 , 1.326709 
 200 , 1.327906 
 201 , 1.323055 
 202 , 1.323415 
 203 , 1.328853 
 204 , 1.322989 
 205 , 1.318853 
 206 , 1.325443 
 207 , 1.325191 
 208 , 1.320899 
 209 , 1.3261 
 210 , 1.32653 
 211 , 1.323696 
 212 , 1.328436 
 213 , 1.329867 
 214 , 1.331439 
 215 , 1.331174 
 216 , 1.331366 
 217 , 1.328415 
 218 , 1.324872 
 219 , 1.326544 
 220 , 1.325887 
 221 , 1.324743 
 222 , 1.329659 
 223 , 1.33062 
 224 , 1.326023 
 225 , 1.330558 
 226 , 1.328976 
 227 , 1.328898 
 228 , 1.327454 
 229 , 1.328848 
 230 , 1.3247 
 231 , 1.323156 
 232 , 1.326319 
 233 , 1.328325 
 234 , 1.324448 
 235 , 1.327647 
 236 , 1.331719 
 237 , 1.326176 
 238 , 1.329518 
 239 , 1.334029 
 240 , 1.33314 
 241 , 1.333406 
 242 , 1.33865 
 243 , 1.336974 
 244 , 1.337838 
 245 , 1.344836 
 246 , 1.344143 
 247 , 1.346896 
 248 , 1.347074 
 249 , 1.350029 
 250 , 1.351694 
 251 , 1.358507 
 252 , 1.361651 
 253 , 1.363436 
 254 , 1.367208 
 255 , 1.373406 
 256 , 1.37286 
 257 , 1.37605 
 258 , 1.383583 
 259 , 1.385863 
 260 , 1.388315 
 261 , 1.390924 
 262 , 1.396423 
 263 , 1.392618 
 264 , 1.394675 
 265 , 1.403265 
 266 , 1.403082 
 267 , 1.395163 
 268 , 1.40362 
 269 , 1.40605 
 270 , 1.397468 
 271 , 1.402591 
 272 , 1.404584 
 273 , 1.400681 
 274 , 1.399078 
 275 , 1.402467 
 276 , 1.396164 
 277 , 1.395452 
 278 , 1.395468 
 279 , 1.393855 
 280 , 1.39419 
 281 , 1.389797 
 282 , 1.386879 
 283 , 1.380178 
 284 , 1.381643 
 285 , 1.380324 
 286 , 1.377897 
 287 , 1.37341 
 288 , 1.375549 
 289 , 1.369145 
 290 , 1.367678 
 291 , 1.367056 
 292 , 1.365314 
 293 , 1.358595 
 294 , 1.354108 
 295 , 1.3577 
 296 , 1.346613 
 297 , 1.347649 
 298 , 1.348776 
 299 , 1.344003 
 300 , 1.336119 
 301 , 1.345531 
 302 , 1.342492 
 303 , 1.331614 
 304 , 1.335178 
 305 , 1.334529 
 306 , 1.330318 
 307 , 1.334266 
 308 , 1.335621 
 309 , 1.332368 
 310 , 1.334529 
 311 , 1.332941 
 312 , 1.334471 
 313 , 1.333578 
 314 , 1.334646 
 315 , 1.330905 
 316 , 1.3297 
 317 , 1.328672 
 318 , 1.327548 
 319 , 1.328408 
 320 , 1.331447 
 321 , 1.335956 
 322 , 1.334463 
 323 , 1.338035 
 324 , 1.338202 
 325 , 1.340165 
 326 , 1.337631 
 327 , 1.340598 
 328 , 1.345127 
 329 , 1.336558 
 330 , 1.340709 
 331 , 1.350417 
 332 , 1.349396 
 333 , 1.345824 
 334 , 1.35926 
 335 , 1.358488 
 336 , 1.360066 
 337 , 1.36882 
 338 , 1.369981 
 339 , 1.372225 
 340 , 1.37916 
 341 , 1.380502 
 342 , 1.38153 
 343 , 1.387947 
 344 , 1.388089 
 345 , 1.390658 
 346 , 1.397204 
 347 , 1.402275 
 348 , 1.403705 
 349 , 1.407749 
 350 , 1.413895 
 351 , 1.413424 
 352 , 1.417406 
 353 , 1.420889 
 354 , 1.424537 
 355 , 1.418033 
 356 , 1.417009 
 357 , 1.420714 
 358 , 1.418803 
 359 , 1.413576 
 360 , 1.418791 
 361 , 1.42357 
 362 , 1.413358 
 363 , 1.417312 
 364 , 1.422382 
 365 , 1.415618 
 366 , 1.41076 
 367 , 1.416726 
 368 , 1.407913 
 369 , 1.401429 
 370 , 1.405775 
 371 , 1.401286 
 372 , 1.396651 
 373 , 1.398694 
 374 , 1.396505 
 375 , 1.390703 
 376 , 1.393147 
 377 , 1.385839 
 378 , 1.38492 
 379 , 1.380822 
 380 , 1.376275 
 381 , 1.368573 
 382 , 1.371199 
 383 , 1.366853 
 384 , 1.362568 
 385 , 1.357783 
 386 , 1.356965 
 387 , 1.354834 
 388 , 1.34856 
 389 , 1.348937 
 390 , 1.346766 
 391 , 1.347323 
 392 , 1.34233 
 393 , 1.34685 
 394 , 1.343049 
 395 , 1.340432 
 396 , 1.34628 
 397 , 1.349136 
 398 , 1.340389 
 399 , 1.344531 
 400 , 1.352515 
 401 , 1.347347 
 402 , 1.349596 
 403 , 1.356714 
 404 , 1.35709 
 405 , 1.357258 
 406 , 1.36298 
 407 , 1.362684 
 408 , 1.362286 
 409 , 1.368844 
 410 , 1.369663 
 411 , 1.37674 
 412 , 1.381528 
 413 , 1.381967 
 414 , 1.383964 
 415 , 1.390494 
 416 , 1.391082 
 417 , 1.395161 
 418 , 1.394187 
 419 , 1.401066 
 420 , 1.40271 
 421 , 1.404304 
 422 , 1.409476 
 423 , 1.411266 
 424 , 1.413295 
 425 , 1.415054 
 426 , 1.418018 
 427 , 1.413242 
 428 , 1.413763 
 429 , 1.420783 
 430 , 1.422541 
 431 , 1.420121 
 432 , 1.429266 
 433 , 1.43708 
 434 , 1.432777 
 435 , 1.436461 
 436 , 1.434928 
 437 , 1.431032 
 438 , 1.434833 
 439 , 1.436682 
 440 , 1.435147 
 441 , 1.436774 
 442 , 1.44003 
 443 , 1.434458 
 444 , 1.432852 
 445 , 1.43499 
 446 , 1.431177 
 447 , 1.425521 
 448 , 1.426489 
 449 , 1.423865 
 450 , 1.421296 
 451 , 1.419473 
 452 , 1.416357 
 453 , 1.407243 
 454 , 1.399948 
 455 , 1.396927 
 456 , 1.393928 
 457 , 1.385503 
 458 , 1.380578 
 459 , 1.382644 
 460 , 1.36882 
 461 , 1.366545 
 462 , 1.370157 
 463 , 1.364792 
 464 , 1.356897 
 465 , 1.366009 
 466 , 1.365454 
 467 , 1.359492 
 468 , 1.365491 
 469 , 1.369983 
 470 , 1.368875 
 471 , 1.374938 
 472 , 1.379977 
 473 , 1.381695 
 474 , 1.388872 
 475 , 1.400274 
 476 , 1.408883 
 477 , 1.414474 
 478 , 1.420792 
 479 , 1.426052 
 480 , 1.431486 
