#E_eV       mt_Step
   23843.00     -1.30506
   23849.21     -1.30631
   23856.20      -1.3078
   23862.68     -1.30918
   23868.90     -1.31051
   23875.12     -1.31194
   23882.13     -1.31332
   23888.88     -1.31466
   23894.86     -1.31602
   23901.10      -1.3174
   23908.38     -1.31882
   23914.63     -1.32016
   23921.14     -1.32144
   23927.13     -1.32277
   23934.17     -1.32423
   23940.69     -1.32566
   23946.95     -1.32693
   23952.96     -1.32836
   23960.27     -1.32983
   23966.81     -1.33105
   23972.83     -1.33246
   23979.11     -1.33373
   23986.18      -1.3351
   23992.73     -1.33651
   23999.02     -1.33781
   24005.05      -1.3392
   24012.40     -1.34064
   24018.43     -1.34193
   24025.00     -1.34325
   24031.05     -1.34461
   24038.41     -1.34602
   24044.46     -1.34726
   24051.05     -1.34851
   24057.10     -1.34969
   24064.22     -1.35111
   24070.55     -1.35232
   24077.15      -1.3536
   24082.95     -1.35464
   24090.35     -1.35601
   24096.69     -1.35737
   24103.04     -1.35869
   24109.12     -1.35982
   24116.27     -1.36121
   24122.63     -1.36227
   24128.99     -1.36346
   24135.35      -1.3647
   24141.98     -1.36593
   24148.62     -1.36713
   24154.99     -1.36826
   24161.11     -1.36939
   24168.28      -1.3707
   24174.40      -1.3718
   24181.32     -1.37269
   24187.18     -1.37384
   24193.84     -1.37489
   24200.51      -1.3759
   24207.44     -1.37683
   24213.05     -1.37767
   24219.99     -1.37847
   24226.67     -1.37928
   24233.09     -1.37983
   24239.51     -1.38042
   24245.66     -1.38084
   24252.62     -1.38134
   24259.32     -1.38134
   24265.22     -1.38106
   24271.65     -1.38065
   24278.90     -1.37968
   24285.08     -1.37844
   24291.25     -1.37638
   24297.70     -1.37295
   24299.05     -1.37202
   24300.12     -1.37145
   24300.93      -1.3708
   24302.01     -1.37003
   24303.08     -1.36916
   24303.89     -1.36844
   24304.97      -1.3673
   24306.04     -1.36631
   24307.12     -1.36522
   24307.92     -1.36425
   24309.00     -1.36282
   24310.08     -1.36165
   24311.15     -1.36036
   24311.96     -1.35915
   24313.04     -1.35741
   24313.85     -1.35567
   24314.92     -1.35351
   24316.00     -1.35117
   24317.08     -1.34891
   24317.88     -1.34676
   24318.96     -1.34371
   24319.77      -1.3403
   24320.85     -1.33614
   24321.92     -1.33177
   24323.00     -1.32696
   24323.81     -1.32187
   24325.16     -1.31494
   24325.97     -1.30936
   24327.04     -1.30146
   24328.12     -1.29236
   24329.20     -1.28258
   24330.01     -1.27159
   24330.82     -1.25714
   24332.17     -1.23387
   24332.97     -1.21298
   24334.05     -1.17939
   24334.86     -1.13886
   24336.21     -1.08119
   24337.02     -1.03282
   24338.10     -0.96594
   24338.91      -0.8981
   24339.99     -0.81079
   24341.07      -0.7272
   24342.15     -0.65913
   24342.96     -0.60089
   24343.77     -0.52769
   24345.11     -0.44326
   24345.92     -0.37504
   24347.00     -0.29061
   24347.81     -0.20758
   24348.89     -0.10212
   24349.97     -0.00313
   24350.78      0.08076
   24352.13      0.16363
   24352.94      0.21106
   24354.30      0.24992
   24354.84      0.26707
   24356.19      0.28236
   24357.00      0.28522
   24358.08      0.28156
   24358.89      0.27173
   24359.97      0.25251
   24361.05      0.23005
   24362.13      0.20871
   24362.94      0.18943
   24364.02      0.17067
   24365.10      0.15808
   24366.19      0.15178
   24367.00      0.15037
   24367.81      0.15396
   24369.16      0.16561
   24369.97      0.17891
   24371.05      0.20049
   24371.87      0.22551
   24372.95      0.25881
   24373.76      0.29435
   24375.11      0.34045
   24375.92      0.37373
   24376.74       0.4097
   24378.09      0.44686
   24378.90      0.46646
   24380.25      0.47875
   24381.07      0.47889
   24381.88      0.46957
   24383.23      0.44379
   24384.04      0.41747
   24384.86      0.37842
   24385.94      0.32974
   24387.02      0.28248
   24387.84       0.2406
   24389.19      0.20152
   24390.00      0.17716
   24391.09      0.15781
   24391.90      0.14711
   24393.25      0.14187
   24394.07      0.14286
   24394.88      0.14831
   24395.97      0.15937
   24397.05      0.17177
   24397.86      0.18468
   24398.95      0.19947
   24400.03      0.21246
   24400.85      0.22323
   24401.93       0.2334
   24403.01      0.24087
   24403.83      0.24623
   24405.18      0.25134
   24406.00      0.25458
