XDAC V1.4 Datafile V1
"MMCBr1_100.002" created on 11/18/2012 at 9:48:15 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 13474.00
NUM_REGIONS= 6
SRB= -100 -30 -15 10 30 50 200
SRSS= 5 .5 .25 .5 1 5
SPP= 1 1 1 1 1 1
Settling time= 0.20


Offsets= 110.75 66.00 0.00 0.00 0.00 0.00 0.00 9.50 6.00 15.00 0.00 12.75 5.75 12.25 88.75 0.00
Gains= 8.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.00 1.00
oaks + Fe + Br- + H2O2 rinsed a lot


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
   13373.99834    24727.2500    11385.0000     3451.0000    32904.0000     3286.0000     3613.0000   155761.0000   192463.5000   189639.0000   182534.0000   192583.0000   213713.2500   208875.2500   202468.7500    15934.2500        1.0000
   13379.00322    24677.2500    11375.0000     3294.0000    33495.0000     3220.0000     3497.0000   154849.0000   192810.5000   188904.0000   182140.0000   191237.0000   214328.2500   207615.2500   201880.7500    15952.2500        1.0000
   13384.00191    24452.2500    11283.0000     3283.0000    32990.0000     3037.0000     3460.0000   154292.0000   191252.5000   187980.0000   180965.0000   190281.0000   212652.2500   206316.2500   200533.7500    15859.2500        1.0000
   13389.00104    24956.2500    11527.0000     3324.0000    34607.0000     3141.0000     3576.0000   156509.0000   194216.5000   191429.0000   183819.0000   193941.0000   216664.2500   210821.2500   203994.7500    16237.2500        1.0000
   13394.00062    24824.2500    11479.0000     3338.0000    34743.0000     3283.0000     3502.0000   155561.0000   193092.5000   190014.0000   183263.0000   192428.0000   215067.2500   209281.2500   203424.7500    16206.2500        1.0000
   13399.00064    24755.2500    11458.0000     3391.0000    34797.0000     3139.0000     3491.0000   155393.0000   193439.5000   189609.0000   183175.0000   192045.0000   215033.2500   208583.2500   203445.7500    16213.2500        1.0000
   13404.00112    24612.2500    11405.0000     3322.0000    34581.0000     3198.0000     3379.0000   154715.0000   192533.5000   188856.0000   181712.0000   190703.0000   214179.2500   207865.2500   201524.7500    16172.2500        1.0000
   13409.00204    20681.2500     9593.0000     2674.0000    30374.0000     2435.0000     2677.0000   135305.0000   165423.5000   161913.0000   155684.0000   161248.0000   180690.2500   175190.2500   169497.7500    13635.2500        1.0000
   13413.99676    24751.2500    11494.0000     3191.0000    35493.0000     3195.0000     3461.0000   155567.0000   192927.5000   189557.0000   184163.0000   192000.0000   214450.2500   208362.2500   204236.7500    16362.2500        1.0000
   13418.99857    24861.2500    11558.0000     3172.0000    36389.0000     3114.0000     3440.0000   156188.0000   194074.5000   190483.0000   183758.0000   192978.0000   215958.2500   209736.2500   204175.7500    16488.2500        1.0000
