XDAC V1.4 Datafile V1
"cu_kmdg1.020" created on 6/22/2012 at 5:46:29 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 8979.00
NUM_REGIONS= 4
SRB= -200 -30 30 60 13k
SRSS= 10 0.5 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 115.00 54.25 0.00 0.00 0.00 0.00 10.50 5.25 5.25 5.25 12.25 10.75 5.25 10.50 98.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 0.00 8.00 8.00 8.00 10.00 1.00
Green glass KMDG1


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    8779.00083     4817.0000        2.7500      566.0000      609.0000      373.0000      348.0000    79438.5000    72299.7500    56376.7500    63449.7500    82356.7500    74659.2500    57733.7500    65286.5000        1.0000        1.0000
    8788.99736     4685.0000        2.7500      612.0000      579.0000      353.0000      364.0000    77254.5000    70486.7500    54455.7500    62071.7500    80088.7500    72684.2500    55791.7500    63735.5000        1.0000        1.0000
    8799.00154     4833.0000        2.7500      585.0000      615.0000      359.0000      392.0000    79777.5000    72790.7500    56879.7500    63414.7500    82745.7500    75242.2500    58331.7500    65187.5000        2.0000        1.0000
    8809.00224     4807.0000        2.7500      559.0000      638.0000      398.0000      400.0000    78998.5000    72739.7500    56774.7500    63608.7500    81958.7500    75188.2500    58161.7500    65387.5000        1.0000        1.0000
    8818.99942     4810.0000        3.7500      617.0000      609.0000      382.0000      401.0000    79380.5000    72756.7500    57002.7500    63701.7500    82458.7500    75201.2500    58460.7500    65421.5000        1.0000        1.0000
    8828.99859     4690.0000        3.7500      544.0000      567.0000      454.0000      375.0000    77932.5000    71810.7500    55899.7500    62458.7500    80817.7500    74125.2500    57356.7500    64085.5000        2.0000        1.0000
    8838.99973     4793.0000        2.7500      595.0000      588.0000      449.0000      403.0000    79630.5000    72973.7500    56878.7500    63498.7500    82637.7500    75379.2500    58337.7500    65328.5000        2.0000        1.0000
    8848.99723     4802.0000        3.7500      599.0000      589.0000      403.0000      412.0000    79616.5000    72258.7500    56668.7500    64204.7500    82576.7500    74563.2500    58077.7500    65970.5000        1.0000        1.0000
    8859.00221     4761.0000        2.7500      579.0000      605.0000      415.0000      445.0000    79650.5000    71812.7500    56952.7500    63144.7500    82541.7500    74223.2500    58366.7500    64983.5000        1.0000        1.0000
    8868.99790     4781.0000        2.7500      628.0000      607.0000      453.0000      410.0000    79913.5000    72721.7500    57045.7500    63681.7500    82986.7500    75033.2500    58426.7500    65511.5000        1.0000        1.0000
    8879.00099     4766.0000        2.7500      617.0000      608.0000      409.0000      443.0000    79495.5000    72628.7500    57163.7500    63690.7500    82329.7500    74987.2500    58624.7500    65367.5000        1.0000        1.0000
    8889.00031     4764.0000        2.7500      672.0000      651.0000      416.0000      395.0000    79429.5000    73133.7500    56816.7500    64040.7500    82416.7500    75536.2500    58286.7500    65802.5000        1.0000        1.0000
    8899.00138     4661.0000        3.7500      646.0000      578.0000      452.0000      486.0000    78207.5000    71132.7500    55678.7500    62588.7500    81182.7500    73411.2500    57089.7500    64380.5000        2.0000        1.0000
    8908.99860     4748.0000        2.7500      691.0000      662.0000      461.0000      486.0000    79581.5000    72671.7500    56544.7500    63180.7500    82637.7500    74983.2500    57966.7500    64926.5000        1.0000        1.0000
    8918.99751     4741.0000        3.7500      746.0000      695.0000      497.0000      527.0000    79709.5000    72237.7500    56634.7500    63850.7500    82705.7500    74656.2500    58083.7500    65609.5000        2.0000        1.0000
    8928.99809     4731.0000        2.7500      766.0000      746.0000      545.0000      588.0000    79694.5000    72662.7500    56936.7500    63783.7500    82669.7500    75173.2500    58342.7500    65556.5000        1.0000        1.0000
    8939.00030     4738.0000        3.7500      868.0000      804.0000      577.0000      647.0000    80011.5000    72623.7500    56895.7500    64002.7500    82996.7500    75050.2500    58375.7500    65722.5000        1.0000        1.0000
    8948.99851     4737.0000        3.7500     1009.0000      941.0000      652.0000      748.0000    79869.5000    73429.7500    56872.7500    63951.7500    82936.7500    75835.2500    58400.7500    65746.5000        1.0000        1.0000
    8949.49805     4732.0000        3.7500     1002.0000     1031.0000      662.0000      780.0000    79821.5000    73524.7500    56925.7500    64329.7500    82739.7500    75878.2500    58404.7500    66183.5000        1.0000        1.0000
