 name:     silver                                       Feff 6L.02    potph 4.12
 formula:  Ag
 sites:    Ag1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, fcc
 Abs   Z=47 Rmt= 1.460 Rnm= 1.609 K shell
 Pot 1 Z=47 Rmt= 1.445 Rnm= 1.578
 Gam_ch=8.122E+00 H-L exch
 Mu=-4.471E+00 kf=1.653E+00 Vint=-1.488E+01 Rs_int= 2.194
 Path    1      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   2  12.000   2.8921    2.9824   -4.47085 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  47 Ag       absorbing atom
     0.0000    2.0450    2.0450  1  47 Ag    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  3.4030E+00  0.0000E+00 -4.7847E+00  0.1001E+01  3.1583E+00  1.6833E+00
  0.200  3.4024E+00  1.0124E-01 -5.8917E+00  0.1004E+01  3.1789E+00  1.6943E+00
  0.400  3.4000E+00  1.9431E-01 -6.9003E+00  0.1012E+01  3.2385E+00  1.7271E+00
  0.600  3.3942E+00  2.7374E-01 -7.8132E+00  0.1026E+01  3.3310E+00  1.7808E+00
  0.800  3.3822E+00  3.3744E-01 -8.6327E+00  0.1045E+01  3.4469E+00  1.8539E+00
  1.000  3.3599E+00  3.8535E-01 -9.3594E+00  0.1068E+01  3.5756E+00  1.9454E+00
  1.200  3.3224E+00  4.1751E-01 -9.9911E+00  0.1096E+01  3.7065E+00  2.0539E+00
  1.400  3.2642E+00  4.3316E-01 -1.0522E+01  0.1126E+01  3.8328E+00  2.1787E+00
  1.600  3.1793E+00  4.3121E-01 -1.0942E+01  0.1155E+01  3.9543E+00  2.3196E+00
  1.800  3.0627E+00  4.1200E-01 -1.1233E+01  0.1180E+01  4.0808E+00  2.4765E+00
  2.000  2.9099E+00  3.8039E-01 -1.1367E+01  0.1194E+01  4.2347E+00  2.6499E+00
  2.200  2.6706E+00  3.5595E-01 -1.1208E+01  0.1387E+01  3.6637E+00  2.8589E+00
  2.400  2.6790E+00  3.6179E-01 -1.1319E+01  0.1534E+01  3.3024E+00  2.9878E+00
  2.600  2.6588E+00  4.1090E-01 -1.1301E+01  0.1592E+01  3.1784E+00  3.1243E+00
  2.800  2.5960E+00  5.0041E-01 -1.1305E+01  0.1588E+01  3.1570E+00  3.2685E+00
  3.000  2.5106E+00  6.4540E-01 -1.1305E+01  0.1563E+01  3.1929E+00  3.4195E+00
  3.200  2.4135E+00  7.8775E-01 -1.1328E+01  0.1522E+01  3.2654E+00  3.5769E+00
  3.400  2.2994E+00  9.1736E-01 -1.1354E+01  0.1477E+01  3.3639E+00  3.7397E+00
  3.600  2.1827E+00  1.0018E+00 -1.1363E+01  0.1430E+01  3.4818E+00  3.9072E+00
  3.800  2.0532E+00  1.0331E+00 -1.1375E+01  0.1382E+01  3.6150E+00  4.0789E+00
  4.000  1.9269E+00  1.0237E+00 -1.1362E+01  0.1342E+01  3.7607E+00  4.2541E+00
  4.200  1.7934E+00  9.7543E-01 -1.1363E+01  0.1297E+01  3.9168E+00  4.4324E+00
  4.400  1.6537E+00  9.0212E-01 -1.1341E+01  0.1260E+01  4.0817E+00  4.6133E+00
  4.600  1.5231E+00  8.1856E-01 -1.1301E+01  0.1228E+01  4.2544E+00  4.7963E+00
  4.800  1.3909E+00  7.2892E-01 -1.1251E+01  0.1196E+01  4.4338E+00  4.9814E+00
  5.000  1.2580E+00  6.4033E-01 -1.1185E+01  0.1170E+01  4.6194E+00  5.1680E+00
  5.200  1.1230E+00  5.6053E-01 -1.1110E+01  0.1146E+01  4.8103E+00  5.3561E+00
  5.400  9.9341E-01  4.9181E-01 -1.0995E+01  0.1125E+01  5.0062E+00  5.5455E+00
  5.600  8.6214E-01  4.3584E-01 -1.0849E+01  0.1106E+01  5.2067E+00  5.7359E+00
  5.800  7.3332E-01  4.0038E-01 -1.0671E+01  0.1089E+01  5.4114E+00  5.9273E+00
  6.000  6.0427E-01  3.8416E-01 -1.0480E+01  0.1075E+01  5.6199E+00  6.1194E+00
  6.500  2.9149E-01  4.2729E-01 -1.0075E+01  0.1044E+01  6.1566E+00  6.6029E+00
  7.000 -4.0615E-03  5.1238E-01 -9.8881E+00  0.1020E+01  6.7126E+00  7.0897E+00
  7.500 -2.8023E-01  5.8552E-01 -9.8372E+00  0.9980E+00  7.2857E+00  7.5791E+00
  8.000 -5.5243E-01  6.3839E-01 -9.8523E+00  0.9770E+00  7.8737E+00  8.0703E+00
  8.500 -8.1787E-01  6.7247E-01 -9.9017E+00  0.9602E+00  8.4753E+00  8.5630E+00
  9.000 -1.0740E+00  6.9080E-01 -9.9704E+00  0.9474E+00  9.0892E+00  9.0569E+00
  9.500 -1.3186E+00  6.9313E-01 -1.0051E+01  0.9375E+00  9.7143E+00  9.5517E+00
 10.000 -1.5523E+00  6.8406E-01 -1.0141E+01  0.9291E+00  1.0350E+01  1.0047E+01
 11.000 -1.9899E+00  6.4823E-01 -1.0328E+01  0.9182E+00  1.1649E+01  1.1040E+01
 12.000 -2.3972E+00  5.9532E-01 -1.0528E+01  0.9126E+00  1.2982E+01  1.2035E+01
 13.000 -2.7711E+00  5.3918E-01 -1.0726E+01  0.9084E+00  1.4344E+01  1.3030E+01
 14.000 -3.1198E+00  4.8231E-01 -1.0925E+01  0.9069E+00  1.5733E+01  1.4027E+01
 15.000 -3.4446E+00  4.2848E-01 -1.1121E+01  0.9060E+00  1.7145E+01  1.5024E+01
 16.000 -3.7463E+00  3.8014E-01 -1.1312E+01  0.9052E+00  1.8579E+01  1.6022E+01
 17.000 -4.0294E+00  3.3673E-01 -1.1504E+01  0.9048E+00  2.0033E+01  1.7020E+01
 18.000 -4.2944E+00  2.9964E-01 -1.1689E+01  0.9026E+00  2.1504E+01  1.8018E+01
 19.000 -4.5451E+00  2.6656E-01 -1.1907E+01  0.9007E+00  2.2992E+01  1.9016E+01
 20.000 -4.7736E+00  2.2734E-01 -1.2101E+01  0.8972E+00  2.4495E+01  2.0015E+01
