
   Zn:    Z = 30;   Atomic weight = 65.38000 g/mol ;    nominal density:   [INLINE] = 7.1120E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  1.08566E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  6.43627E+05
          9 edges. Edge energies (keV):
          

  K      9.65860E+00  L I    1.19360E+00  L II   1.04280E+00  L III  1.01970E+00
  M I    1.35900E-01  M II   8.66000E-02  M III  8.66000E-02  M IV   8.10000E-03
  M V    8.10000E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.5183E-01, -9.5400E-02 e/atom
          Nuclear Thomson correction fNT = -7.5516E-03 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=30, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

7.938000E-03  1.89392E+00  0.0000E+00  0.0000E+00  2.0403E-05  2.0403E-05  0.000E+00  1.562E+02
8.059500E-03  1.58428E+00  0.0000E+00  0.0000E+00  2.2107E-05  2.2107E-05  0.000E+00  1.538E+02
8.091900E-03  1.24074E+00  0.0000E+00  0.0000E+00  2.2579E-05  2.2579E-05  0.000E+00  1.532E+02
8.140500E-03  1.56676E+00  6.6117E-01  5.2275E+04  2.3301E-05  5.2275E+04  0.000E+00  1.523E+02
8.262000E-03  1.83711E+00  6.7285E-01  5.2416E+04  2.5185E-05  5.2416E+04  0.000E+00  1.501E+02
1.069000E-02  2.18614E+00  9.1642E-01  5.5176E+04  9.2962E-05  5.5176E+04  0.000E+00  1.160E+02
1.142761E-02  2.18313E+00  9.9609E-01  5.6102E+04  1.2856E-04  5.6102E+04  0.000E+00  1.085E+02
1.221612E-02  2.17165E+00  1.0846E+00  5.7145E+04  1.7676E-04  5.7145E+04  0.000E+00  1.015E+02
1.305903E-02  2.15396E+00  1.1832E+00  5.8313E+04  2.4168E-04  5.8313E+04  0.000E+00  9.494E+01
1.396010E-02  2.13164E+00  1.2930E+00  5.9612E+04  3.2857E-04  5.9612E+04  0.000E+00  8.881E+01
1.492335E-02  2.10599E+00  1.4153E+00  6.1041E+04  4.4421E-04  6.1041E+04  0.000E+00  8.308E+01
