
   Ge:    Z = 32;   Atomic weight = 72.59000 g/mol ;    nominal density:   [INLINE] = 5.3070E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  1.20539E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  5.79699E+05
          9 edges. Edge energies (keV):
          

  K      1.11031E+01  L I    1.41430E+00  L II   1.24780E+00  L III  1.21670E+00
  M I    1.80000E-01  M II   1.27900E-01  M III  1.20800E-01  M IV   2.87000E-02
  M V    2.87000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -1.7723E-01, -1.1160E-01 e/atom
          Nuclear Thomson correction fNT = -7.7386E-03 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=32, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.069000E-02  4.82331E+00  0.0000E+00  0.0000E+00  1.1051E-04  1.1051E-04  0.000E+00  1.160E+02
1.142761E-02  4.79856E+00  0.0000E+00  0.0000E+00  1.5183E-04  1.5183E-04  0.000E+00  1.085E+02
1.221612E-02  4.76990E+00  0.0000E+00  0.0000E+00  2.0744E-04  2.0744E-04  0.000E+00  1.015E+02
1.305903E-02  4.73664E+00  0.0000E+00  0.0000E+00  2.8186E-04  2.8186E-04  0.000E+00  9.494E+01
1.396010E-02  4.69793E+00  0.0000E+00  0.0000E+00  3.8087E-04  3.8087E-04  0.000E+00  8.881E+01
1.492335E-02  4.65272E+00  0.0000E+00  0.0000E+00  5.1187E-04  5.1187E-04  0.000E+00  8.308E+01
1.595306E-02  4.59971E+00  0.0000E+00  0.0000E+00  6.8420E-04  6.8420E-04  0.000E+00  7.772E+01
1.705382E-02  4.53719E+00  0.0000E+00  0.0000E+00  9.0963E-04  9.0963E-04  0.000E+00  7.270E+01
1.823053E-02  4.46296E+00  0.0000E+00  0.0000E+00  1.2029E-03  1.2029E-03  0.000E+00  6.801E+01
1.948844E-02  4.37397E+00  0.0000E+00  0.0000E+00  1.5823E-03  1.5823E-03  0.000E+00  6.362E+01
2.083314E-02  4.26589E+00  0.0000E+00  0.0000E+00  2.0703E-03  2.0703E-03  0.000E+00  5.951E+01
2.227063E-02  4.13200E+00  0.0000E+00  0.0000E+00  2.6947E-03  2.6947E-03  0.000E+00  5.567E+01
2.380730E-02  3.96079E+00  0.0000E+00  0.0000E+00  3.4891E-03  3.4891E-03  0.000E+00  5.208E+01
2.545001E-02  3.72818E+00  0.0000E+00  0.0000E+00  4.4944E-03  4.4944E-03  0.000E+00  4.872E+01
2.720606E-02  3.35842E+00  0.0000E+00  0.0000E+00  5.7597E-03  5.7597E-03  0.000E+00  4.557E+01
2.812600E-02  2.99548E+00  0.0000E+00  0.0000E+00  6.5051E-03  6.5051E-03  0.000E+00  4.408E+01
2.855650E-02  2.56016E+00  0.0000E+00  0.0000E+00  6.8742E-03  6.8742E-03  0.000E+00  4.342E+01
2.867130E-02  2.10442E+00  0.0000E+00  0.0000E+00  6.9748E-03  6.9748E-03  0.000E+00  4.324E+01
2.884350E-02  2.50915E+00  8.6030E-01  1.7290E+04  7.1274E-03  1.7290E+04  0.000E+00  4.299E+01
2.908327E-02  2.73980E+00  8.7594E-01  1.7459E+04  7.3435E-03  1.7459E+04  0.000E+00  4.263E+01
2.927400E-02  2.82322E+00  8.8848E-01  1.7594E+04  7.5183E-03  1.7594E+04  0.000E+00  4.235E+01
3.109002E-02  2.99292E+00  1.0128E+00  1.8885E+04  9.3153E-03  1.8885E+04  0.000E+00  3.988E+01
3.323523E-02  2.92695E+00  1.1767E+00  2.0524E+04  1.1757E-02  2.0524E+04  0.000E+00  3.731E+01
3.552846E-02  2.78960E+00  1.3852E+00  2.2602E+04  1.4765E-02  2.2602E+04  0.000E+00  3.490E+01
3.797993E-02  2.61993E+00  1.6451E+00  2.5110E+04  1.8451E-02  2.5110E+04  0.000E+00  3.264E+01
4.060054E-02  2.43542E+00  1.9627E+00  2.8023E+04  2.2942E-02  2.8023E+04  0.000E+00  3.054E+01
4.340198E-02  2.24947E+00  2.3438E+00  3.1304E+04  2.8388E-02  3.1304E+04  0.000E+00  2.857E+01
4.639671E-02  2.07531E+00  2.7932E+00  3.4899E+04  3.4955E-02  3.4899E+04  0.000E+00  2.672E+01
4.959809E-02  1.92706E+00  3.3138E+00  3.8731E+04  4.2834E-02  3.8731E+04  0.000E+00  2.500E+01
5.302035E-02  1.81991E+00  3.9058E+00  4.2704E+04  5.2237E-02  4.2704E+04  0.000E+00  2.338E+01
5.667876E-02  1.76967E+00  4.5662E+00  4.6702E+04  6.3401E-02  4.6702E+04  0.000E+00  2.187E+01
6.058959E-02  1.79203E+00  5.2882E+00  5.0596E+04  7.6588E-02  5.0596E+04  0.000E+00  2.046E+01
6.477028E-02  1.90158E+00  6.0612E+00  5.4248E+04  9.2084E-02  5.4248E+04  0.000E+00  1.914E+01
6.923942E-02  2.11068E+00  6.8707E+00  5.7524E+04  1.1020E-01  5.7524E+04  0.000E+00  1.791E+01
