
   Se:    Z = 34;   Atomic weight = 78.96000 g/mol ;    nominal density:   [INLINE] = 4.7800E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  1.31116E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  5.32932E+05
          9 edges. Edge energies (keV):
          

  K      1.26578E+01  L I    1.65390E+00  L II   1.47620E+00  L III  1.43580E+00
  M I    2.31500E-01  M II   1.68200E-01  M III  1.61900E-01  M IV   5.67000E-02
  M V    5.67000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -2.0514E-01, -1.2900E-01 e/atom
          Nuclear Thomson correction fNT = -8.0314E-03 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=34, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.069000E-02  7.12170E+00  0.0000E+00  0.0000E+00  1.4390E-04  1.4390E-04  0.000E+00  1.160E+02
1.142761E-02  7.11201E+00  0.0000E+00  0.0000E+00  1.9625E-04  1.9625E-04  0.000E+00  1.085E+02
1.221612E-02  7.10091E+00  0.0000E+00  0.0000E+00  2.6619E-04  2.6619E-04  0.000E+00  1.015E+02
1.305903E-02  7.08817E+00  0.0000E+00  0.0000E+00  3.5912E-04  3.5912E-04  0.000E+00  9.494E+01
1.396010E-02  7.07355E+00  0.0000E+00  0.0000E+00  4.8192E-04  4.8192E-04  0.000E+00  8.881E+01
1.492335E-02  7.05677E+00  0.0000E+00  0.0000E+00  6.4327E-04  6.4327E-04  0.000E+00  8.308E+01
1.595306E-02  7.03750E+00  0.0000E+00  0.0000E+00  8.5413E-04  8.5413E-04  0.000E+00  7.772E+01
1.705382E-02  7.01534E+00  0.0000E+00  0.0000E+00  1.1282E-03  1.1282E-03  0.000E+00  7.270E+01
1.823053E-02  6.98983E+00  0.0000E+00  0.0000E+00  1.4824E-03  1.4824E-03  0.000E+00  6.801E+01
1.948844E-02  6.96044E+00  0.0000E+00  0.0000E+00  1.9378E-03  1.9378E-03  0.000E+00  6.362E+01
2.083314E-02  6.92655E+00  0.0000E+00  0.0000E+00  2.5200E-03  2.5200E-03  0.000E+00  5.951E+01
2.227063E-02  6.88738E+00  0.0000E+00  0.0000E+00  3.2605E-03  3.2605E-03  0.000E+00  5.567E+01
2.380730E-02  6.84205E+00  0.0000E+00  0.0000E+00  4.1972E-03  4.1972E-03  0.000E+00  5.208E+01
2.545001E-02  6.78948E+00  0.0000E+00  0.0000E+00  5.3758E-03  5.3758E-03  0.000E+00  4.872E+01
2.720606E-02  6.72835E+00  0.0000E+00  0.0000E+00  6.8508E-03  6.8508E-03  0.000E+00  4.557E+01
2.908327E-02  6.65705E+00  0.0000E+00  0.0000E+00  8.6873E-03  8.6873E-03  0.000E+00  4.263E+01
3.109002E-02  6.57359E+00  0.0000E+00  0.0000E+00  1.0962E-02  1.0962E-02  0.000E+00  3.988E+01
3.323523E-02  6.47542E+00  0.0000E+00  0.0000E+00  1.3764E-02  1.3764E-02  0.000E+00  3.731E+01
3.552846E-02  6.35930E+00  0.0000E+00  0.0000E+00  1.7198E-02  1.7198E-02  0.000E+00  3.490E+01
3.797993E-02  6.22090E+00  0.0000E+00  0.0000E+00  2.1385E-02  2.1385E-02  0.000E+00  3.264E+01
4.060054E-02  6.05430E+00  0.0000E+00  0.0000E+00  2.6463E-02  2.6463E-02  0.000E+00  3.054E+01
4.340198E-02  5.85093E+00  0.0000E+00  0.0000E+00  3.2591E-02  3.2591E-02  0.000E+00  2.857E+01
4.639671E-02  5.59743E+00  0.0000E+00  0.0000E+00  3.9948E-02  3.9948E-02  0.000E+00  2.672E+01
4.959809E-02  5.26996E+00  0.0000E+00  0.0000E+00  4.8736E-02  4.8736E-02  0.000E+00  2.500E+01
5.302035E-02  4.81237E+00  0.0000E+00  0.0000E+00  5.9178E-02  5.9178E-02  0.000E+00  2.338E+01
5.556600E-02  4.28445E+00  0.0000E+00  0.0000E+00  6.7641E-02  6.7641E-02  0.000E+00  2.231E+01
5.641650E-02  3.91211E+00  0.0000E+00  0.0000E+00  7.0600E-02  7.0600E-02  0.000E+00  2.198E+01
5.667876E-02  3.42611E+00  0.0000E+00  0.0000E+00  7.1525E-02  7.1525E-02  0.000E+00  2.187E+01
5.698350E-02  3.79296E+00  5.4255E-01  5.0741E+03  7.2608E-02  5.0742E+03  0.000E+00  2.176E+01
5.783400E-02  3.87146E+00  6.0226E-01  5.5497E+03  7.5674E-02  5.5498E+03  0.000E+00  2.144E+01
