
   Kr:    Z = 36;   Atomic weight = 83.80000 g/mol ;    nominal density:   [INLINE] = 3.4840E-03 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  1.39153E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  5.02152E+05
          9 edges. Edge energies (keV):
          

  K      1.43256E+01  L I    1.92100E+00  L II   1.72720E+00  L III  1.67490E+00
  M I    2.88330E-01  M II   2.22700E-01  M III  2.13800E-01  M IV   8.89000E-02
  M V    8.89000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -2.3566E-01, -1.4820E-01 e/atom
          Nuclear Thomson correction fNT = -8.4840E-03 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=36, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.069000E-02  9.29037E+00  0.0000E+00  0.0000E+00  1.6413E-04  1.6413E-04  0.000E+00  1.160E+02
1.142761E-02  9.28534E+00  0.0000E+00  0.0000E+00  2.2323E-04  2.2323E-04  0.000E+00  1.085E+02
1.221612E-02  9.27958E+00  0.0000E+00  0.0000E+00  3.0199E-04  3.0199E-04  0.000E+00  1.015E+02
1.305903E-02  9.27298E+00  0.0000E+00  0.0000E+00  4.0636E-04  4.0636E-04  0.000E+00  9.494E+01
1.396010E-02  9.26544E+00  0.0000E+00  0.0000E+00  5.4394E-04  5.4394E-04  0.000E+00  8.881E+01
1.492335E-02  9.25679E+00  0.0000E+00  0.0000E+00  7.2427E-04  7.2427E-04  0.000E+00  8.308E+01
1.595306E-02  9.24690E+00  0.0000E+00  0.0000E+00  9.5936E-04  9.5936E-04  0.000E+00  7.772E+01
1.705382E-02  9.23556E+00  0.0000E+00  0.0000E+00  1.2642E-03  1.2642E-03  0.000E+00  7.270E+01
1.823053E-02  9.22256E+00  0.0000E+00  0.0000E+00  1.6573E-03  1.6573E-03  0.000E+00  6.801E+01
1.948844E-02  9.20767E+00  0.0000E+00  0.0000E+00  2.1615E-03  2.1615E-03  0.000E+00  6.362E+01
2.083314E-02  9.19057E+00  0.0000E+00  0.0000E+00  2.8049E-03  2.8049E-03  0.000E+00  5.951E+01
2.227063E-02  9.17096E+00  0.0000E+00  0.0000E+00  3.6213E-03  3.6213E-03  0.000E+00  5.567E+01
2.380730E-02  9.14843E+00  0.0000E+00  0.0000E+00  4.6520E-03  4.6520E-03  0.000E+00  5.208E+01
2.545001E-02  9.12254E+00  0.0000E+00  0.0000E+00  5.9462E-03  5.9462E-03  0.000E+00  4.872E+01
2.720606E-02  9.09275E+00  0.0000E+00  0.0000E+00  7.5629E-03  7.5629E-03  0.000E+00  4.557E+01
2.908327E-02  9.05845E+00  0.0000E+00  0.0000E+00  9.5718E-03  9.5718E-03  0.000E+00  4.263E+01
3.109002E-02  9.01890E+00  0.0000E+00  0.0000E+00  1.2055E-02  1.2055E-02  0.000E+00  3.988E+01
3.323523E-02  8.97325E+00  0.0000E+00  0.0000E+00  1.5109E-02  1.5109E-02  0.000E+00  3.731E+01
3.552846E-02  8.92046E+00  0.0000E+00  0.0000E+00  1.8845E-02  1.8845E-02  0.000E+00  3.490E+01
3.797993E-02  8.85929E+00  0.0000E+00  0.0000E+00  2.3393E-02  2.3393E-02  0.000E+00  3.264E+01
4.060054E-02  8.78826E+00  0.0000E+00  0.0000E+00  2.8901E-02  2.8901E-02  0.000E+00  3.054E+01
4.340198E-02  8.70556E+00  0.0000E+00  0.0000E+00  3.5536E-02  3.5536E-02  0.000E+00  2.857E+01
4.639671E-02  8.60896E+00  0.0000E+00  0.0000E+00  4.3489E-02  4.3489E-02  0.000E+00  2.672E+01
4.959809E-02  8.49567E+00  0.0000E+00  0.0000E+00  5.2975E-02  5.2975E-02  0.000E+00  2.500E+01
5.302035E-02  8.36216E+00  0.0000E+00  0.0000E+00  6.4231E-02  6.4231E-02  0.000E+00  2.338E+01
5.667876E-02  8.20386E+00  0.0000E+00  0.0000E+00  7.7521E-02  7.7521E-02  0.000E+00  2.187E+01
6.058959E-02  8.01472E+00  0.0000E+00  0.0000E+00  9.3134E-02  9.3134E-02  0.000E+00  2.046E+01
6.477028E-02  7.78638E+00  0.0000E+00  0.0000E+00  1.1139E-01  1.1139E-01  0.000E+00  1.914E+01
6.923942E-02  7.50680E+00  0.0000E+00  0.0000E+00  1.3261E-01  1.3261E-01  0.000E+00  1.791E+01
7.401695E-02  7.15722E+00  0.0000E+00  0.0000E+00  1.5718E-01  1.5718E-01  0.000E+00  1.675E+01
7.912411E-02  6.70431E+00  0.0000E+00  0.0000E+00  1.8548E-01  1.8548E-01  0.000E+00  1.567E+01
8.458368E-02  6.06764E+00  0.0000E+00  0.0000E+00  2.1791E-01  2.1791E-01  0.000E+00  1.466E+01
8.712200E-02  5.64666E+00  0.0000E+00  0.0000E+00  2.3371E-01  2.3371E-01  0.000E+00  1.423E+01
8.845550E-02  5.27889E+00  0.0000E+00  0.0000E+00  2.4218E-01  2.4218E-01  0.000E+00  1.402E+01
8.881110E-02  5.01683E+00  0.0000E+00  0.0000E+00  2.4446E-01  2.4446E-01  0.000E+00  1.396E+01
8.934450E-02  5.11898E+00  4.1142E-01  2.3124E+03  2.4790E-01  2.3126E+03  0.000E+00  1.388E+01
9.041995E-02  5.09657E+00  4.6449E-01  2.5796E+03  2.5489E-01  2.5799E+03  0.000E+00  1.371E+01
9.067800E-02  5.07502E+00  4.7811E-01  2.6476E+03  2.5657E-01  2.6479E+03  0.000E+00  1.367E+01
9.665893E-02  4.30507E+00  9.1368E-01  4.7467E+03  2.9685E-01  4.7470E+03  0.000E+00  1.283E+01
1.033284E-01  3.35762E+00  1.7260E+00  8.3879E+03  3.4423E-01  8.3882E+03  0.000E+00  1.200E+01
1.104581E-01  2.47607E+00  2.9189E+00  1.3269E+04  3.9747E-01  1.3269E+04  0.000E+00  1.122E+01
1.180797E-01  1.80997E+00  4.4806E+00  1.9054E+04  4.5700E-01  1.9054E+04  0.000E+00  1.050E+01
1.262272E-01  1.49791E+00  6.3314E+00  2.5187E+04  5.2324E-01  2.5188E+04  0.000E+00  9.822E+00
1.349368E-01  1.63144E+00  8.3376E+00  3.1027E+04  5.9658E-01  3.1028E+04  0.000E+00  9.188E+00
1.442475E-01  2.23705E+00  1.0342E+01  3.6001E+04  6.7739E-01  3.6002E+04  0.000E+00  8.595E+00
1.542005E-01  3.27653E+00  1.2194E+01  3.9709E+04  7.6598E-01  3.9710E+04  0.000E+00  8.040E+00
1.648404E-01  4.66077E+00  1.3777E+01  4.1968E+04  8.6262E-01  4.1969E+04  0.000E+00  7.521E+00
1.762144E-01  6.26791E+00  1.5016E+01  4.2790E+04  9.6753E-01  4.2791E+04  0.000E+00  7.036E+00
1.883732E-01  7.95392E+00  1.5880E+01  4.2333E+04  1.0809E+00  4.2334E+04  0.000E+00  6.582E+00
2.013709E-01  9.52269E+00  1.6377E+01  4.0838E+04  1.2026E+00  4.0839E+04  0.000E+00  6.157E+00
2.095240E-01  1.01694E+01  1.6509E+01  3.9566E+04  1.2791E+00  3.9567E+04  0.000E+00  5.917E+00
2.127310E-01  1.00543E+01  1.6530E+01  3.9019E+04  1.3091E+00  3.9020E+04  0.000E+00  5.828E+00
2.135862E-01  9.60025E+00  1.6533E+01  3.8870E+04  1.3172E+00  3.8871E+04  0.000E+00  5.805E+00
2.148690E-01  1.02597E+01  1.7597E+01  4.1125E+04  1.3292E+00  4.1126E+04  0.000E+00  5.770E+00
2.152655E-01  1.04030E+01  1.7602E+01  4.1059E+04  1.3329E+00  4.1060E+04  0.000E+00  5.760E+00
2.182460E-01  1.10418E+01  1.7627E+01  4.0556E+04  1.3608E+00  4.0557E+04  0.000E+00  5.681E+00
2.215865E-01  1.14044E+01  1.7641E+01  3.9978E+04  1.3920E+00  3.9979E+04  0.000E+00  5.595E+00
2.224773E-01  1.13064E+01  1.7643E+01  3.9822E+04  1.4003E+00  3.9823E+04  0.000E+00  5.573E+00
