
   Nd:    Z = 60;   Atomic weight = 144.2400 g/mol ;    nominal density:   [INLINE] = 6.9940E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.39516E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.91738E+05
          18 edges. Edge energies (keV):
          

  K      4.35689E+01  L I    7.12600E+00  L II   6.72150E+00  L III  6.20790E+00
  M I    1.57530E+00  M II   1.40280E+00  M III  1.29740E+00  M IV   9.99500E-01
  M V    9.77700E-01  N I    3.15200E-01  N II   2.43300E-01  N III  2.24600E-01
  N IV   1.17500E-01  N V    1.17500E-01  N VI   3.00000E-03  O I    3.75000E-02
  O II   2.11000E-02  O III  2.11000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -8.4384E-01, -5.1240E-01 e/atom
          Nuclear Thomson correction fNT = -1.3692E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=60, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.069000E-02  1.48440E+01  2.7095E-01  7.3944E+03  1.9096E-04  7.3944E+03  0.000E+00  1.160E+02
1.142761E-02  1.47192E+01  3.0133E-01  7.6926E+03  2.5994E-04  7.6926E+03  0.000E+00  1.085E+02
1.221612E-02  1.45682E+01  3.3573E-01  8.0178E+03  3.5200E-04  8.0178E+03  0.000E+00  1.015E+02
1.305903E-02  1.43830E+01  3.7466E-01  8.3698E+03  4.7420E-04  8.3698E+03  0.000E+00  9.494E+01
1.396010E-02  1.41508E+01  4.1861E-01  8.7480E+03  6.3555E-04  8.7480E+03  0.000E+00  8.881E+01
1.492335E-02  1.38515E+01  4.6815E-01  9.1520E+03  8.4745E-04  9.1520E+03  0.000E+00  8.308E+01
1.595306E-02  1.34503E+01  5.2390E-01  9.5806E+03  1.1243E-03  9.5806E+03  0.000E+00  7.772E+01
1.705382E-02  1.28793E+01  5.8645E-01  1.0032E+04  1.4840E-03  1.0032E+04  0.000E+00  7.270E+01
1.823053E-02  1.19837E+01  6.5646E-01  1.0505E+04  1.9489E-03  1.0505E+04  0.000E+00  6.801E+01
1.948844E-02  1.02794E+01  7.3456E-01  1.0996E+04  2.5468E-03  1.0996E+04  0.000E+00  6.362E+01
2.067800E-02  5.53421E+00  8.1122E-01  1.1445E+04  3.2163E-03  1.1445E+04  0.000E+00  5.996E+01
2.083314E-02  3.72966E+00  8.2140E-01  1.1502E+04  3.3115E-03  1.1502E+04  0.000E+00  5.951E+01
2.099450E-02 -9.60247E-02  8.3203E-01  1.1562E+04  3.4125E-03  1.1562E+04  0.000E+00  5.906E+01
2.107890E-02 -7.02935E+00  8.3761E-01  1.1593E+04  3.4661E-03  1.1593E+04  0.000E+00  5.882E+01
2.120550E-02  4.43496E-01  1.4593E+01  2.0077E+05  3.5476E-03  2.0077E+05  0.000E+00  5.847E+01
2.152200E-02  7.05288E+00  1.4087E+01  1.9096E+05  3.7570E-03  1.9096E+05  0.000E+00  5.761E+01
2.227063E-02  1.21512E+01  1.2999E+01  1.7028E+05  4.2846E-03  1.7028E+05  0.000E+00  5.567E+01
2.380730E-02  1.62683E+01  1.1145E+01  1.3657E+05  5.5164E-03  1.3657E+05  0.000E+00  5.208E+01
