
   Pm:    Z = 61;   Atomic weight = 145.0000 g/mol ;    nominal density:   [INLINE] = 7.2000E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.40778E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.90209E+05
          18 edges. Edge energies (keV):
          

  K      4.51840E+01  L I    7.42790E+00  L II   7.01280E+00  L III  6.45930E+00
  M I    1.64650E+00  M II   1.47140E+00  M III  1.35690E+00  M IV   1.05150E+00
  M V    1.02690E+00  N I    3.30400E-01  N II   2.54400E-01  N III  2.36000E-01
  N IV   1.20400E-01  N V    1.20400E-01  N VI   4.00000E-03  O I    3.75000E-02
  O II   2.11000E-02  O III  2.11000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -8.8035E-01, -5.3340E-01 e/atom
          Nuclear Thomson correction fNT = -1.4078E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=61, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.069000E-02  1.25974E+01  2.4241E-01  6.5808E+03  2.0774E-04  6.5808E+03  0.000E+00  1.160E+02
1.142761E-02  1.24613E+01  2.7242E-01  6.9181E+03  2.8236E-04  6.9181E+03  0.000E+00  1.085E+02
1.221612E-02  1.23126E+01  3.0634E-01  7.2775E+03  3.8179E-04  7.2775E+03  0.000E+00  1.015E+02
1.305903E-02  1.21106E+01  3.4476E-01  7.6616E+03  5.1358E-04  7.6616E+03  0.000E+00  9.494E+01
1.396010E-02  1.18573E+01  3.8832E-01  8.0726E+03  6.8733E-04  8.0726E+03  0.000E+00  8.881E+01
1.492335E-02  1.15312E+01  4.3773E-01  8.5124E+03  9.1519E-04  8.5124E+03  0.000E+00  8.308E+01
1.595306E-02  1.10943E+01  4.9378E-01  8.9826E+03  1.2124E-03  8.9826E+03  0.000E+00  7.772E+01
1.705382E-02  1.04739E+01  5.5717E-01  9.4814E+03  1.5981E-03  9.4814E+03  0.000E+00  7.270E+01
1.823053E-02  9.50254E+00  6.2855E-01  1.0006E+04  2.0960E-03  1.0006E+04  0.000E+00  6.801E+01
1.948844E-02  7.65798E+00  7.0875E-01  1.0554E+04  2.7353E-03  1.0554E+04  0.000E+00  6.362E+01
2.067800E-02  2.52909E+00  7.8801E-01  1.1060E+04  3.4505E-03  1.1060E+04  0.000E+00  5.996E+01
2.083314E-02  5.78709E-01  7.9858E-01  1.1124E+04  3.5521E-03  1.1124E+04  0.000E+00  5.951E+01
2.099450E-02 -3.55699E+00  8.0963E-01  1.1192E+04  3.6599E-03  1.1192E+04  0.000E+00  5.906E+01
2.107890E-02 -1.10546E+01  8.1543E-01  1.1227E+04  3.7171E-03  1.1227E+04  0.000E+00  5.882E+01
2.120550E-02 -2.96724E+00  1.5691E+01  2.1475E+05  3.8041E-03  2.1475E+05  0.000E+00  5.847E+01
2.152200E-02  4.18486E+00  1.5134E+01  2.0407E+05  4.0274E-03  2.0407E+05  0.000E+00  5.761E+01
2.227063E-02  9.69595E+00  1.3936E+01  1.8160E+05  4.5900E-03  1.8160E+05  0.000E+00  5.567E+01
2.380730E-02  1.41247E+01  1.1898E+01  1.4504E+05  5.9023E-03  1.4504E+05  0.000E+00  5.208E+01
2.545001E-02  1.62788E+01  1.0082E+01  1.1496E+05  7.5529E-03  1.1496E+05  0.000E+00  4.872E+01
2.720606E-02  1.73987E+01  8.5183E+00  9.0865E+04  9.6186E-03  9.0865E+04  0.000E+00  4.557E+01
2.908327E-02  1.79337E+01  7.2406E+00  7.2251E+04  1.2191E-02  7.2251E+04  0.000E+00  4.263E+01
3.109002E-02  1.81250E+01  6.2405E+00  5.8252E+04  1.5377E-02  5.8252E+04  0.000E+00  3.988E+01
3.323523E-02  1.81188E+01  5.4887E+00  4.7927E+04  1.9304E-02  4.7927E+04  0.000E+00  3.731E+01
3.552846E-02  1.80053E+01  4.9481E+00  4.0418E+04  2.4120E-02  4.0418E+04  0.000E+00  3.490E+01
3.675000E-02  1.79230E+01  4.7430E+00  3.7455E+04  2.6954E-02  3.7455E+04  0.000E+00  3.374E+01
3.731250E-02  1.78768E+01  4.6642E+00  3.6277E+04  2.8322E-02  3.6277E+04  0.000E+00  3.323E+01
3.746250E-02  1.78559E+01  4.6447E+00  3.5981E+04  2.8693E-02  3.5981E+04  0.000E+00  3.310E+01
3.768750E-02  1.78515E+01  4.6381E+00  3.5715E+04  2.9256E-02  3.5715E+04  0.000E+00  3.290E+01
3.797993E-02  1.78383E+01  4.6041E+00  3.5180E+04  2.9998E-02  3.5180E+04  0.000E+00  3.264E+01
3.825000E-02  1.78235E+01  4.5747E+00  3.4709E+04  3.0692E-02  3.4709E+04  0.000E+00  3.241E+01
4.060054E-02  1.76842E+01  4.3856E+00  3.1348E+04  3.7134E-02  3.1348E+04  0.000E+00  3.054E+01
4.340198E-02  1.75358E+01  4.2820E+00  2.8632E+04  4.5756E-02  2.8632E+04  0.000E+00  2.857E+01
