
   Eu:    Z = 63;   Atomic weight = 151.9600 g/mol ;    nominal density:   [INLINE] = 5.2280E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.52336E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.76917E+05
          18 edges. Edge energies (keV):
          

  K      4.85190E+01  L I    8.05200E+00  L II   7.61710E+00  L III  6.97690E+00
  M I    1.80000E+00  M II   1.61390E+00  M III  1.48060E+00  M IV   1.16060E+00
  M V    1.13090E+00  N I    3.60200E-01  N II   2.83900E-01  N III  2.56600E-01
  N IV   1.33200E-01  N V    1.33200E-01  N VI   2.91151E-03  O I    3.18000E-02
  O II   2.20000E-02  O III  2.20000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -9.5641E-01, -5.7720E-01 e/atom
          Nuclear Thomson correction fNT = -1.4328E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=63, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.069000E-02  1.39833E+01  2.5065E-01  6.4928E+03  2.3138E-04  6.4928E+03  0.000E+00  1.160E+02
1.142761E-02  1.38468E+01  2.8095E-01  6.8081E+03  3.1371E-04  6.8081E+03  0.000E+00  1.085E+02
1.221612E-02  1.36829E+01  3.1548E-01  7.1513E+03  4.2314E-04  7.1513E+03  0.000E+00  1.015E+02
1.305903E-02  1.34837E+01  3.5479E-01  7.5232E+03  5.6783E-04  7.5232E+03  0.000E+00  9.494E+01
1.396010E-02  1.32373E+01  3.9950E-01  7.9247E+03  7.5814E-04  7.9247E+03  0.000E+00  8.881E+01
1.492335E-02  1.29256E+01  4.5032E-01  8.3561E+03  1.0071E-03  8.3561E+03  0.000E+00  8.308E+01
1.595306E-02  1.25184E+01  5.0798E-01  8.8177E+03  1.3312E-03  8.8177E+03  0.000E+00  7.772E+01
1.705382E-02  1.19616E+01  5.7330E-01  9.3091E+03  1.7507E-03  9.3091E+03  0.000E+00  7.270E+01
1.823053E-02  1.11444E+01  6.4715E-01  9.8300E+03  2.2911E-03  9.8300E+03  0.000E+00  6.801E+01
1.948844E-02  9.78838E+00  7.3045E-01  1.0379E+04  2.9834E-03  1.0379E+04  0.000E+00  6.362E+01
2.083314E-02  6.82187E+00  8.2418E-01  1.0955E+04  3.8660E-03  1.0955E+04  0.000E+00  5.951E+01
2.156000E-02  2.42628E+00  8.7675E-01  1.1261E+04  4.4085E-03  1.1261E+04  0.000E+00  5.751E+01
2.189000E-02 -4.57615E+00  9.0104E-01  1.1398E+04  4.6705E-03  1.1398E+04  0.000E+00  5.664E+01
2.197800E-02 -1.32262E+01  9.0756E-01  1.1435E+04  4.7421E-03  1.1435E+04  0.000E+00  5.641E+01
2.211000E-02 -3.85948E+00  1.8081E+01  2.2646E+05  4.8508E-03  2.2646E+05  0.000E+00  5.608E+01
2.227063E-02  1.46570E+00  1.7741E+01  2.2060E+05  4.9853E-03  2.2060E+05  0.000E+00  5.567E+01
2.244000E-02  4.42720E+00  1.7394E+01  2.1464E+05  5.1298E-03  2.1464E+05  0.000E+00  5.525E+01
2.380730E-02  1.32311E+01  1.4940E+01  1.7378E+05  6.3976E-03  1.7378E+05  0.000E+00  5.208E+01
2.545001E-02  1.69560E+01  1.2596E+01  1.3706E+05  8.1705E-03  1.3706E+05  0.000E+00  4.872E+01
2.720606E-02  1.88177E+01  1.0552E+01  1.0740E+05  1.0385E-02  1.0740E+05  0.000E+00  4.557E+01
2.908327E-02  1.97321E+01  8.8615E+00  8.4375E+04  1.3137E-02  8.4375E+04  0.000E+00  4.263E+01
3.109002E-02  2.01046E+01  7.5261E+00  6.7035E+04  1.6539E-02  6.7035E+04  0.000E+00  3.988E+01
3.116400E-02  2.01107E+01  7.4848E+00  6.6508E+04  1.6674E-02  6.6508E+04  0.000E+00  3.978E+01
3.164100E-02  2.01363E+01  7.2300E+00  6.3276E+04  1.7560E-02  6.3276E+04  0.000E+00  3.918E+01
3.176820E-02  2.01315E+01  7.1655E+00  6.2460E+04  1.7801E-02  6.2460E+04  0.000E+00  3.903E+01
3.195900E-02  2.01522E+01  7.0947E+00  6.1474E+04  1.8166E-02  6.1474E+04  0.000E+00  3.879E+01
3.243600E-02  2.01771E+01  6.8729E+00  5.8676E+04  1.9098E-02  5.8676E+04  0.000E+00  3.822E+01
3.323523E-02  2.01866E+01  6.5399E+00  5.4490E+04  2.0726E-02  5.4490E+04  0.000E+00  3.731E+01
3.552846E-02  2.01102E+01  5.8100E+00  4.5285E+04  2.5851E-02  4.5285E+04  0.000E+00  3.490E+01
3.797993E-02  1.99568E+01  5.3111E+00  3.8724E+04  3.2094E-02  3.8724E+04  0.000E+00  3.264E+01
4.060054E-02  1.97831E+01  5.0003E+00  3.4105E+04  3.9662E-02  3.4105E+04  0.000E+00  3.054E+01
4.340198E-02  1.96243E+01  4.8414E+00  3.0890E+04  4.8791E-02  3.0890E+04  0.000E+00  2.857E+01
4.639671E-02  1.95039E+01  4.8054E+00  2.8681E+04  5.9749E-02  2.8681E+04  0.000E+00  2.672E+01
4.959809E-02  1.94397E+01  4.8696E+00  2.7188E+04  7.2837E-02  2.7188E+04  0.000E+00  2.500E+01
5.302035E-02  1.94498E+01  5.0163E+00  2.6199E+04  8.8396E-02  2.6199E+04  0.000E+00  2.338E+01
5.667876E-02  1.95454E+01  5.1276E+00  2.5052E+04  1.0680E-01  2.5052E+04  0.000E+00  2.187E+01
6.058959E-02  1.96637E+01  5.1817E+00  2.3682E+04  1.2847E-01  2.3682E+04  0.000E+00  2.046E+01
6.477028E-02  1.97952E+01  5.2494E+00  2.2443E+04  1.5385E-01  2.2443E+04  0.000E+00  1.914E+01
6.923942E-02  1.99539E+01  5.3225E+00  2.1287E+04  1.8345E-01  2.1287E+04  0.000E+00  1.791E+01
7.401695E-02  2.01062E+01  5.3942E+00  2.0181E+04  2.1779E-01  2.0181E+04  0.000E+00  1.675E+01
7.912411E-02  2.02598E+01  5.4590E+00  1.9105E+04  2.5745E-01  1.9105E+04  0.000E+00  1.567E+01
8.458368E-02  2.04046E+01  5.5126E+00  1.8048E+04  3.0304E-01  1.8048E+04  0.000E+00  1.466E+01
9.041995E-02  2.05260E+01  5.5518E+00  1.7003E+04  3.5518E-01  1.7003E+04  0.000E+00  1.371E+01
9.665893E-02  2.06028E+01  5.5743E+00  1.5970E+04  4.1455E-01  1.5970E+04  0.000E+00  1.283E+01
1.033284E-01  2.05930E+01  5.5782E+00  1.4950E+04  4.8182E-01  1.4950E+04  0.000E+00  1.200E+01
