
   Dy:    Z = 66;   Atomic weight = 162.5000 g/mol ;    nominal density:   [INLINE] = 8.5250E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.69838E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.58956E+05
          19 edges. Edge energies (keV):
          

  K      5.37885E+01  L I    9.04580E+00  L II   8.58060E+00  L III  7.79010E+00
  M I    2.04680E+00  M II   1.84180E+00  M III  1.67560E+00  M IV   1.33250E+00
  M V    1.29490E+00  N I    4.16300E-01  N II   3.31800E-01  N III  2.92900E-01
  N IV   1.54200E-01  N V    1.54200E-01  N VI   4.20000E-03  N VII  4.20000E-03
  O I    6.29000E-02  O II   2.63000E-02  O III  2.63000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -1.0783E+00, -6.4740E-01 e/atom
          Nuclear Thomson correction fNT = -1.4705E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=66, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

4.116000E-03  1.20399E+01  0.0000E+00  0.0000E+00  1.9080E-06  1.9080E-06  0.000E+00  3.012E+02
4.179000E-03  1.19981E+01  0.0000E+00  0.0000E+00  2.0805E-06  2.0805E-06  0.000E+00  2.967E+02
4.195800E-03  1.19535E+01  0.0000E+00  0.0000E+00  2.1285E-06  2.1285E-06  0.000E+00  2.955E+02
4.221000E-03  1.19946E+01  8.4705E-02  5.1966E+03  2.2022E-06  5.1966E+03  0.000E+00  2.937E+02
4.284000E-03  1.20271E+01  8.5785E-02  5.1855E+03  2.3951E-06  5.1855E+03  0.000E+00  2.894E+02
1.069000E-02  1.15061E+01  2.6494E-01  6.4178E+03  2.5522E-04  6.4178E+03  0.000E+00  1.160E+02
1.142761E-02  1.13999E+01  2.9523E-01  6.6901E+03  3.4524E-04  6.6901E+03  0.000E+00  1.085E+02
1.221612E-02  1.12755E+01  3.2993E-01  6.9939E+03  4.6463E-04  6.9939E+03  0.000E+00  1.015E+02
1.305903E-02  1.13472E+01  3.6970E-01  7.3311E+03  6.2214E-04  7.3311E+03  0.000E+00  9.494E+01
1.396010E-02  1.11736E+01  4.1529E-01  7.7035E+03  8.2887E-04  7.7035E+03  0.000E+00  8.881E+01
1.492335E-02  1.09656E+01  4.6755E-01  8.1130E+03  1.0988E-03  8.1130E+03  0.000E+00  8.308E+01
1.595306E-02  1.07127E+01  5.2742E-01  8.5613E+03  1.4494E-03  8.5613E+03  0.000E+00  7.772E+01
1.705382E-02  1.03998E+01  5.9600E-01  9.0500E+03  1.9023E-03  9.0500E+03  0.000E+00  7.270E+01
1.823053E-02  1.00025E+01  6.7432E-01  9.5784E+03  2.4847E-03  9.5784E+03  0.000E+00  6.801E+01
1.948844E-02  9.47980E+00  7.6357E-01  1.0146E+04  3.2294E-03  1.0146E+04  0.000E+00  6.362E+01
2.083314E-02  8.75445E+00  8.6507E-01  1.0753E+04  4.1770E-03  1.0753E+04  0.000E+00  5.951E+01
2.227063E-02  7.65884E+00  9.8022E-01  1.1398E+04  5.3766E-03  1.1398E+04  0.000E+00  5.567E+01
2.380730E-02  5.72391E+00  1.1105E+00  1.2079E+04  6.8877E-03  1.2079E+04  0.000E+00  5.208E+01
2.545001E-02  5.35432E-01  1.2576E+00  1.2796E+04  8.7814E-03  1.2796E+04  0.000E+00  4.872E+01
2.577400E-02 -2.09144E+00  1.2875E+00  1.2936E+04  9.1903E-03  1.2936E+04  0.000E+00  4.810E+01
2.616850E-02 -1.03771E+01  1.3243E+00  1.3105E+04  9.7044E-03  1.3105E+04  0.000E+00  4.738E+01
2.627370E-02 -2.06809E+01  1.3342E+00  1.3150E+04  9.8445E-03  1.3150E+04  0.000E+00  4.719E+01
2.643150E-02 -9.41095E+00  2.1825E+01  2.1383E+05  1.0057E-02  2.1383E+05  0.000E+00  4.691E+01
2.682600E-02  5.61530E-01  2.0871E+01  2.0147E+05  1.0601E-02  2.0147E+05  0.000E+00  4.622E+01
2.720606E-02  4.62242E+00  2.0011E+01  1.9047E+05  1.1143E-02  1.9047E+05  0.000E+00  4.557E+01
2.908327E-02  1.27652E+01  1.6478E+01  1.4672E+05  1.4073E-02  1.4672E+05  0.000E+00  4.263E+01
3.109002E-02  1.59925E+01  1.3594E+01  1.1323E+05  1.7690E-02  1.1323E+05  0.000E+00  3.988E+01
3.323523E-02  1.74640E+01  1.1256E+01  8.7701E+04  2.2134E-02  8.7701E+04  0.000E+00  3.731E+01
3.552846E-02  1.80436E+01  9.4549E+00  6.8914E+04  2.7567E-02  6.8914E+04  0.000E+00  3.490E+01
3.797993E-02  1.81477E+01  8.1320E+00  5.5446E+04  3.4175E-02  5.5446E+04  0.000E+00  3.264E+01
4.060054E-02  1.80083E+01  7.2103E+00  4.5988E+04  4.2175E-02  4.5988E+04  0.000E+00  3.054E+01
4.340198E-02  1.77603E+01  6.6139E+00  3.9462E+04  5.1812E-02  3.9462E+04  0.000E+00  2.857E+01
4.639671E-02  1.74826E+01  6.2771E+00  3.5034E+04  6.3366E-02  3.5034E+04  0.000E+00  2.672E+01
4.959809E-02  1.72211E+01  6.1460E+00  3.2089E+04  7.7149E-02  3.2089E+04  0.000E+00  2.500E+01
5.302035E-02  1.70027E+01  6.1788E+00  3.0178E+04  9.3515E-02  3.0178E+04  0.000E+00  2.338E+01
5.667876E-02  1.68431E+01  6.3436E+00  2.8983E+04  1.1285E-01  2.8983E+04  0.000E+00  2.187E+01
6.058959E-02  1.67508E+01  6.6164E+00  2.8278E+04  1.3559E-01  2.8278E+04  0.000E+00  2.046E+01
6.164200E-02  1.67367E+01  6.7021E+00  2.8155E+04  1.4207E-01  2.8155E+04  0.000E+00  2.011E+01
6.258550E-02  1.67217E+01  6.7824E+00  2.8063E+04  1.4801E-01  2.8063E+04  0.000E+00  1.981E+01
6.283710E-02  1.67082E+01  6.8044E+00  2.8041E+04  1.4961E-01  2.8041E+04  0.000E+00  1.973E+01
6.321450E-02  1.67212E+01  6.8637E+00  2.8117E+04  1.5203E-01  2.8117E+04  0.000E+00  1.961E+01
6.415800E-02  1.67362E+01  6.9503E+00  2.8053E+04  1.5816E-01  2.8053E+04  0.000E+00  1.932E+01
6.477028E-02  1.67444E+01  7.0080E+00  2.8018E+04  1.6221E-01  2.8018E+04  0.000E+00  1.914E+01
6.923942E-02  1.68490E+01  7.4562E+00  2.7886E+04  1.9321E-01  2.7886E+04  0.000E+00  1.791E+01
7.401695E-02  1.70661E+01  7.9731E+00  2.7895E+04  2.2914E-01  2.7895E+04  0.000E+00  1.675E+01
7.912411E-02  1.74445E+01  8.5332E+00  2.7927E+04  2.7061E-01  2.7927E+04  0.000E+00  1.567E+01
8.458368E-02  1.78946E+01  8.7702E+00  2.6850E+04  3.1823E-01  2.6850E+04  0.000E+00  1.466E+01
9.041995E-02  1.83409E+01  8.9903E+00  2.5747E+04  3.7265E-01  2.5747E+04  0.000E+00  1.371E+01
9.665893E-02  1.87849E+01  9.1862E+00  2.4610E+04  4.3457E-01  2.4610E+04  0.000E+00  1.283E+01
1.033284E-01  1.92189E+01  9.3520E+00  2.3437E+04  5.0467E-01  2.3438E+04  0.000E+00  1.200E+01
1.104581E-01  1.96262E+01  9.4828E+00  2.2231E+04  5.8367E-01  2.2232E+04  0.000E+00  1.122E+01
1.180797E-01  1.99771E+01  9.5754E+00  2.1000E+04  6.7228E-01  2.1001E+04  0.000E+00  1.050E+01
1.262272E-01  2.02136E+01  9.6270E+00  1.9750E+04  7.7121E-01  1.9751E+04  0.000E+00  9.822E+00
1.349368E-01  2.01960E+01  9.6360E+00  1.8492E+04  8.8114E-01  1.8493E+04  0.000E+00  9.188E+00
1.442475E-01  1.94171E+01  9.6019E+00  1.7237E+04  1.0027E+00  1.7238E+04  0.000E+00  8.595E+00
1.511160E-01  1.64672E+01  9.5527E+00  1.6370E+04  1.0947E+00  1.6371E+04  0.000E+00  8.205E+00
1.534290E-01  1.13452E+01  9.5322E+00  1.6088E+04  1.1260E+00  1.6089E+04  0.000E+00  8.081E+00
1.540458E-01  4.24887E+00  9.5265E+00  1.6014E+04  1.1344E+00  1.6015E+04  0.000E+00  8.049E+00
1.542005E-01 -2.28916E+01  2.4764E+01  4.1587E+04  1.1365E+00  4.1588E+04  0.000E+00  8.040E+00
1.549710E-01  1.32126E+01  2.3903E+01  3.9941E+04  1.1470E+00  3.9942E+04  0.000E+00  8.000E+00
1.572840E-01  2.09389E+01  2.1614E+01  3.5587E+04  1.1787E+00  3.5588E+04  0.000E+00  7.883E+00
1.648404E-01  2.65780E+01  1.6451E+01  2.5844E+04  1.2832E+00  2.5845E+04  0.000E+00  7.521E+00
1.762144E-01  2.74925E+01  1.2647E+01  1.8585E+04  1.4431E+00  1.8586E+04  0.000E+00  7.036E+00
1.883732E-01  2.73390E+01  1.1099E+01  1.5258E+04  1.6166E+00  1.5260E+04  0.000E+00  6.582E+00
2.013709E-01  2.72460E+01  1.0323E+01  1.3275E+04  1.8040E+00  1.3277E+04  0.000E+00  6.157E+00
2.152655E-01  2.72328E+01  9.8432E+00  1.1841E+04  2.0055E+00  1.1843E+04  0.000E+00  5.760E+00
2.301188E-01  2.72493E+01  9.5006E+00  1.0691E+04  2.2210E+00  1.0693E+04  0.000E+00  5.388E+00
2.459970E-01  2.72489E+01  9.2389E+00  9.7256E+03  2.4504E+00  9.7280E+03  0.000E+00  5.040E+00
2.629708E-01  2.71810E+01  9.0384E+00  8.9004E+03  2.6935E+00  8.9031E+03  0.000E+00  4.715E+00
