
   Yb:    Z = 70;   Atomic weight = 173.0400 g/mol ;    nominal density:   [INLINE] = 6.9530E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.87340E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.43183E+05
          19 edges. Edge energies (keV):
          

  K      6.13323E+01  L I    1.04864E+01  L II   9.97820E+00  L III  8.94360E+00
  M I    2.39810E+00  M II   2.17300E+00  M III  1.94980E+00  M IV   1.57630E+00
  M V    1.52780E+00  N I    4.87200E-01  N II   3.96700E-01  N III  3.43500E-01
  N IV   1.98100E-01  N V    1.84900E-01  N VI   6.30000E-03  N VII  6.30000E-03
  O I    5.41000E-02  O II   2.34000E-02  O III  2.34000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -1.2559E+00, -7.4880E-01 e/atom
          Nuclear Thomson correction fNT = -1.5534E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=70, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.174000E-03  8.70177E+00  0.0000E+00  0.0000E+00  1.6844E-05  1.6844E-05  0.000E+00  2.008E+02
6.268500E-03  8.61958E+00  0.0000E+00  0.0000E+00  1.8235E-05  1.8235E-05  0.000E+00  1.978E+02
6.293700E-03  8.53448E+00  0.0000E+00  0.0000E+00  1.8621E-05  1.8621E-05  0.000E+00  1.970E+02
6.331500E-03  8.61150E+00  1.5997E-01  6.1442E+03  1.9211E-05  6.1442E+03  0.000E+00  1.958E+02
6.426000E-03  8.66995E+00  1.6048E-01  6.0730E+03  2.0748E-05  6.0730E+03  0.000E+00  1.929E+02
1.069000E-02  8.08034E+00  2.4028E-01  5.4660E+03  2.4930E-04  5.4660E+03  0.000E+00  1.160E+02
1.142761E-02  7.90296E+00  2.6322E-01  5.6013E+03  3.3771E-04  5.6013E+03  0.000E+00  1.085E+02
1.221612E-02  7.68974E+00  2.8998E-01  5.7726E+03  4.5515E-04  5.7726E+03  0.000E+00  1.015E+02
1.305903E-02  7.43114E+00  3.2108E-01  5.9790E+03  6.1032E-04  5.9790E+03  0.000E+00  9.494E+01
1.396010E-02  7.11351E+00  3.5710E-01  6.2206E+03  8.1429E-04  6.2206E+03  0.000E+00  8.881E+01
1.492335E-02  6.71672E+00  3.9875E-01  6.4978E+03  1.0810E-03  6.4978E+03  0.000E+00  8.308E+01
1.595306E-02  6.20942E+00  4.4685E-01  6.8116E+03  1.4279E-03  6.8116E+03  0.000E+00  7.772E+01
1.705382E-02  5.53952E+00  5.0232E-01  7.1630E+03  1.8768E-03  7.1630E+03  0.000E+00  7.270E+01
1.823053E-02  4.61228E+00  5.6624E-01  7.5533E+03  2.4547E-03  7.5533E+03  0.000E+00  6.801E+01
1.948844E-02  3.33375E+00  6.3982E-01  7.9839E+03  3.1950E-03  7.9839E+03  0.000E+00  6.362E+01
2.083314E-02  9.89324E-01  7.2443E-01  8.4562E+03  4.1382E-03  8.4562E+03  0.000E+00  5.951E+01
2.227063E-02 -4.40734E+00  8.2162E-01  8.9716E+03  5.3341E-03  8.9716E+03  0.000E+00  5.567E+01
2.293200E-02 -1.12079E+01  8.6864E-01  9.2115E+03  5.9533E-03  9.2115E+03  0.000E+00  5.407E+01
2.328300E-02 -2.32927E+01  8.9418E-01  9.3394E+03  6.3002E-03  9.3394E+03  0.000E+00  5.325E+01
2.337660E-02 -3.83698E+01  9.0106E-01  9.3736E+03  6.3949E-03  9.3736E+03  0.000E+00  5.304E+01
2.351700E-02 -2.18016E+01  3.0895E+01  3.1948E+05  6.5387E-03  3.1948E+05  0.000E+00  5.272E+01
2.380730E-02 -8.64846E+00  2.9627E+01  3.0263E+05  6.8426E-03  3.0263E+05  0.000E+00  5.208E+01
2.386800E-02 -7.13978E+00  2.9371E+01  2.9926E+05  6.9073E-03  2.9926E+05  0.000E+00  5.195E+01
2.545001E-02  8.78620E+00  2.3655E+01  2.2603E+05  8.7359E-03  2.2603E+05  0.000E+00  4.872E+01
2.720606E-02  1.42828E+01  1.8939E+01  1.6929E+05  1.1100E-02  1.6929E+05  0.000E+00  4.557E+01
2.908327E-02  1.66838E+01  1.5192E+01  1.2703E+05  1.4038E-02  1.2703E+05  0.000E+00  4.263E+01
3.109002E-02  1.76344E+01  1.2300E+01  9.6207E+04  1.7671E-02  9.6207E+04  0.000E+00  3.988E+01
3.323523E-02  1.78325E+01  1.0127E+01  7.4097E+04  2.2140E-02  7.4097E+04  0.000E+00  3.731E+01
3.552846E-02  1.76392E+01  8.5366E+00  5.8430E+04  2.7611E-02  5.8430E+04  0.000E+00  3.490E+01
3.797993E-02  1.72551E+01  7.4086E+00  4.7437E+04  3.4276E-02  4.7437E+04  0.000E+00  3.264E+01
4.060054E-02  1.67932E+01  6.6435E+00  3.9792E+04  4.2357E-02  3.9792E+04  0.000E+00  3.054E+01
4.340198E-02  1.63169E+01  6.1631E+00  3.4532E+04  5.2105E-02  3.4532E+04  0.000E+00  2.857E+01
4.639671E-02  1.58609E+01  5.9074E+00  3.0963E+04  6.3808E-02  3.0963E+04  0.000E+00  2.672E+01
4.959809E-02  1.54428E+01  5.8318E+00  2.8594E+04  7.7790E-02  2.8594E+04  0.000E+00  2.500E+01
5.302035E-02  1.50639E+01  5.9031E+00  2.7075E+04  9.4415E-02  2.7075E+04  0.000E+00  2.338E+01
5.382950E-02  1.49722E+01  5.9370E+00  2.6821E+04  9.8598E-02  2.6821E+04  0.000E+00  2.303E+01
5.404590E-02  1.49329E+01  5.9470E+00  2.6759E+04  9.9733E-02  2.6759E+04  0.000E+00  2.294E+01
5.437050E-02  1.49244E+01  6.0019E+00  2.6845E+04  1.0145E-01  2.6845E+04  0.000E+00  2.280E+01
5.518200E-02  1.48735E+01  6.0455E+00  2.6642E+04  1.0580E-01  2.6642E+04  0.000E+00  2.247E+01
5.667876E-02  1.47690E+01  6.1379E+00  2.6335E+04  1.1409E-01  2.6335E+04  0.000E+00  2.187E+01
6.058959E-02  1.45370E+01  6.4395E+00  2.5846E+04  1.3726E-01  2.5846E+04  0.000E+00  2.046E+01
6.477028E-02  1.43639E+01  6.8326E+00  2.5653E+04  1.6441E-01  2.5653E+04  0.000E+00  1.914E+01
6.923942E-02  1.42565E+01  7.3074E+00  2.5665E+04  1.9609E-01  2.5665E+04  0.000E+00  1.791E+01
7.401695E-02  1.42383E+01  7.8560E+00  2.5811E+04  2.3286E-01  2.5811E+04  0.000E+00  1.675E+01
7.912411E-02  1.42782E+01  8.4722E+00  2.6039E+04  2.7535E-01  2.6039E+04  0.000E+00  1.567E+01
8.458368E-02  1.44017E+01  9.1509E+00  2.6309E+04  3.2421E-01  2.6309E+04  0.000E+00  1.466E+01
9.041995E-02  1.46183E+01  9.8876E+00  2.6593E+04  3.8015E-01  2.6593E+04  0.000E+00  1.371E+01
9.665893E-02  1.49408E+01  1.0679E+01  2.6866E+04  4.4387E-01  2.6866E+04  0.000E+00  1.283E+01
1.033284E-01  1.53873E+01  1.1521E+01  2.7114E+04  5.1612E-01  2.7115E+04  0.000E+00  1.200E+01
