
   Hf:    Z = 72;   Atomic weight = 178.4900 g/mol ;    nominal density:   [INLINE] = 1.3290E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.96390E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.35757E+05
          20 edges. Edge energies (keV):
          

  K      6.53508E+01  L I    1.12707E+01  L II   1.07394E+01  L III  9.56070E+00
  M I    2.60090E+00  M II   2.36540E+00  M III  2.10760E+00  M IV   1.71640E+00
  M V    1.66170E+00  N I    5.38100E-01  N II   4.37000E-01  N III  3.80400E-01
  N IV   2.23800E-01  N V    2.13700E-01  N VI   1.71000E-02  N VII  1.71000E-02
  O I    6.49000E-02  O II   3.81000E-02  O III  3.06000E-02  O IV   5.00000E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.3514E+00, -8.0280E-01 e/atom
          Nuclear Thomson correction fNT = -1.5933E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=72, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

4.900000E-03  8.07421E+00  0.0000E+00  0.0000E+00  5.1658E-06  5.1658E-06  0.000E+00  2.530E+02
4.975000E-03  7.62222E+00  0.0000E+00  0.0000E+00  5.6145E-06  5.6145E-06  0.000E+00  2.492E+02
4.995000E-03  7.09825E+00  0.0000E+00  0.0000E+00  5.7391E-06  5.7391E-06  0.000E+00  2.482E+02
5.025000E-03  7.62497E+00  1.0218E+00  4.7938E+04  5.9300E-06  4.7938E+04  0.000E+00  2.467E+02
5.100000E-03  8.07584E+00  1.0141E+00  4.6879E+04  6.4289E-06  4.6879E+04  0.000E+00  2.431E+02
1.069000E-02  8.92457E+00  1.9327E+00  4.2624E+04  2.6051E-04  4.2624E+04  0.000E+00  1.160E+02
1.142761E-02  9.03059E+00  2.0717E+00  4.2740E+04  3.5247E-04  4.2740E+04  0.000E+00  1.085E+02
1.221612E-02  9.15381E+00  2.1926E+00  4.2314E+04  4.7450E-04  4.2314E+04  0.000E+00  1.015E+02
1.305903E-02  9.28691E+00  2.2883E+00  4.1310E+04  6.3555E-04  4.1310E+04  0.000E+00  9.494E+01
