
   Ta:    Z = 73;   Atomic weight = 180.9479 g/mol ;    nominal density:   [INLINE] = 1.6624E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.00471E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.32555E+05
          20 edges. Edge energies (keV):
          

  K      6.74164E+01  L I    1.16815E+01  L II   1.11361E+01  L III  9.88110E+00
  M I    2.70800E+00  M II   2.46870E+00  M III  2.19400E+00  M IV   1.79320E+00
  M V    1.73510E+00  N I    5.65500E-01  N II   4.64800E-01  N III  4.04500E-01
  N IV   2.41300E-01  N V    2.29300E-01  N VI   2.50000E-02  N VII  2.50000E-02
  O I    7.11000E-02  O II   4.49000E-02  O III  3.64000E-02  O IV   5.70000E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.4008E+00, -8.3100E-01 e/atom
          Nuclear Thomson correction fNT = -1.6156E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=73, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

5.586000E-03  7.28675E+00  0.0000E+00  0.0000E+00  1.1072E-05  1.1072E-05  0.000E+00  2.220E+02
5.671500E-03  6.76355E+00  0.0000E+00  0.0000E+00  1.2001E-05  1.2001E-05  0.000E+00  2.186E+02
5.694300E-03  6.16326E+00  0.0000E+00  0.0000E+00  1.2259E-05  1.2259E-05  0.000E+00  2.177E+02
5.728500E-03  6.76103E+00  1.1669E+00  4.7371E+04  1.2653E-05  4.7371E+04  0.000E+00  2.164E+02
5.814000E-03  7.26809E+00  1.1599E+00  4.6396E+04  1.3682E-05  4.6396E+04  0.000E+00  2.133E+02
1.069000E-02  7.69658E+00  2.5477E+00  5.5425E+04  2.7176E-04  5.5425E+04  0.000E+00  1.160E+02
1.142761E-02  7.80670E+00  2.8946E+00  5.8905E+04  3.6733E-04  5.8905E+04  0.000E+00  1.085E+02
1.221612E-02  7.98392E+00  3.2454E+00  6.1782E+04  4.9401E-04  6.1782E+04  0.000E+00  1.015E+02
1.305903E-02  8.23109E+00  3.5808E+00  6.3767E+04  6.6105E-04  6.3767E+04  0.000E+00  9.494E+01
1.396010E-02  8.54464E+00  3.8799E+00  6.4634E+04  8.8017E-04  6.4634E+04  0.000E+00  8.881E+01
1.492335E-02  8.91402E+00  4.1228E+00  6.4246E+04  1.1661E-03  6.4246E+04  0.000E+00  8.308E+01
1.595306E-02  9.32207E+00  4.2927E+00  6.2577E+04  1.5374E-03  6.2577E+04  0.000E+00  7.772E+01
1.705382E-02  9.74633E+00  4.3785E+00  5.9707E+04  2.0169E-03  5.9707E+04  0.000E+00  7.270E+01
1.823053E-02  1.01860E+01  4.3754E+00  5.5814E+04  2.6332E-03  5.5814E+04  0.000E+00  6.801E+01
1.948844E-02  1.05634E+01  4.2858E+00  5.1143E+04  3.4212E-03  5.1143E+04  0.000E+00  6.362E+01
2.083314E-02  1.08749E+01  4.1184E+00  4.5972E+04  4.4236E-03  4.5972E+04  0.000E+00  5.951E+01
2.227063E-02  1.10871E+01  3.8864E+00  4.0582E+04  5.6924E-03  4.0582E+04  0.000E+00  5.567E+01
2.380730E-02  1.11318E+01  3.6051E+00  3.5215E+04  7.2903E-03  3.5215E+04  0.000E+00  5.208E+01
2.450000E-02  1.10153E+01  3.4725E+00  3.2961E+04  8.0966E-03  3.2961E+04  0.000E+00  5.061E+01
2.487500E-02  1.07494E+01  3.4002E+00  3.1788E+04  8.5561E-03  3.1788E+04  0.000E+00  4.984E+01
2.497500E-02  1.04085E+01  3.3809E+00  3.1481E+04  8.6814E-03  3.1481E+04  0.000E+00  4.964E+01
2.512500E-02  1.07805E+01  4.0323E+00  3.7323E+04  8.8716E-03  3.7323E+04  0.000E+00  4.935E+01
2.545001E-02  1.10837E+01  3.9475E+00  3.6071E+04  9.2928E-03  3.6071E+04  0.000E+00  4.872E+01
2.550000E-02  1.11091E+01  3.9346E+00  3.5883E+04  9.3587E-03  3.5883E+04  0.000E+00  4.862E+01
2.720606E-02  1.13983E+01  3.5119E+00  3.0020E+04  1.1790E-02  3.0020E+04  0.000E+00  4.557E+01
2.908327E-02  1.12851E+01  3.1071E+00  2.4845E+04  1.4888E-02  2.4845E+04  0.000E+00  4.263E+01
3.109002E-02  1.08955E+01  2.7577E+00  2.0628E+04  1.8713E-02  2.0628E+04  0.000E+00  3.988E+01
3.323523E-02  1.01007E+01  2.4597E+00  1.7211E+04  2.3413E-02  1.7211E+04  0.000E+00  3.731E+01
3.552846E-02  7.89513E+00  2.2126E+00  1.4483E+04  2.9160E-02  1.4483E+04  0.000E+00  3.490E+01
3.567200E-02  7.57475E+00  2.1993E+00  1.4338E+04  2.9545E-02  1.4338E+04  0.000E+00  3.476E+01
3.621800E-02  5.03659E+00  2.1510E+00  1.3811E+04  3.1037E-02  1.3811E+04  0.000E+00  3.423E+01
3.636360E-02  1.99183E+00  2.1387E+00  1.3677E+04  3.1442E-02  1.3677E+04  0.000E+00  3.410E+01
3.658200E-02  5.19860E+00  8.1125E+00  5.1572E+04  3.2056E-02  5.1572E+04  0.000E+00  3.389E+01
3.712800E-02  7.98196E+00  7.8708E+00  4.9299E+04  3.3621E-02  4.9299E+04  0.000E+00  3.339E+01
3.797993E-02  9.52533E+00  7.5184E+00  4.6036E+04  3.6152E-02  4.6036E+04  0.000E+00  3.264E+01
4.060054E-02  1.11476E+01  6.5983E+00  3.7794E+04  4.4618E-02  3.7794E+04  0.000E+00  3.054E+01
4.340198E-02  1.11433E+01  5.7736E+00  3.0936E+04  5.4820E-02  3.0936E+04  0.000E+00  2.857E+01
4.400200E-02  1.08095E+01  5.6160E+00  2.9681E+04  5.7161E-02  2.9681E+04  0.000E+00  2.818E+01
4.467550E-02  9.67052E+00  5.4478E+00  2.8358E+04  5.9854E-02  2.8358E+04  0.000E+00  2.775E+01
4.485510E-02  8.21964E+00  5.4045E+00  2.8020E+04  6.0584E-02  2.8020E+04  0.000E+00  2.764E+01
4.512450E-02  9.77292E+00  8.2372E+00  4.2452E+04  6.1689E-02  4.2452E+04  0.000E+00  2.748E+01
