
   W:    Z = 74;   Atomic weight = 183.8500 g/mol ;    nominal density:   [INLINE] = 1.9300E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.05290E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.28884E+05
          20 edges. Edge energies (keV):
          

  K      6.95250E+01  L I    1.20998E+01  L II   1.15440E+01  L III  1.02068E+01
  M I    2.81960E+00  M II   2.57490E+00  M III  2.28100E+00  M IV   1.87160E+00
  M V    1.80920E+00  N I    5.95000E-01  N II   4.91600E-01  N III  4.25300E-01
  N IV   2.58800E-01  N V    2.45400E-01  N VI   3.65000E-02  N VII  3.36000E-02
  O I    7.71000E-02  O II   4.68000E-02  O III  3.56000E-02  O IV   6.10000E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.4515E+00, -8.5980E-01 e/atom
          Nuclear Thomson correction fNT = -1.6340E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=74, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

5.978000E-03  6.65660E+00  0.0000E+00  0.0000E+00  1.6514E-05  1.6514E-05  0.000E+00  2.074E+02
6.069500E-03  6.08378E+00  0.0000E+00  0.0000E+00  1.7873E-05  1.7873E-05  0.000E+00  2.043E+02
6.093900E-03  5.43188E+00  0.0000E+00  0.0000E+00  1.8250E-05  1.8250E-05  0.000E+00  2.035E+02
6.130500E-03  6.07665E+00  1.2640E+00  4.7191E+04  1.8826E-05  4.7191E+04  0.000E+00  2.022E+02
6.222000E-03  6.61931E+00  1.2569E+00  4.6237E+04  2.0328E-05  4.6237E+04  0.000E+00  1.993E+02
1.069000E-02  6.56496E+00  2.8092E+00  6.0149E+04  2.8121E-04  6.0149E+04  0.000E+00  1.160E+02
1.142761E-02  6.58098E+00  3.3151E+00  6.6397E+04  3.7980E-04  6.6397E+04  0.000E+00  1.085E+02
1.221612E-02  6.68973E+00  3.8688E+00  7.2486E+04  5.1038E-04  7.2486E+04  0.000E+00  1.015E+02
1.305903E-02  6.90985E+00  4.4462E+00  7.7928E+04  6.8243E-04  7.7928E+04  0.000E+00  9.494E+01
1.396010E-02  7.25243E+00  5.0157E+00  8.2236E+04  9.0794E-04  8.2236E+04  0.000E+00  8.881E+01
1.492335E-02  7.71790E+00  5.5412E+00  8.4987E+04  1.2020E-03  8.4987E+04  0.000E+00  8.308E+01
1.595306E-02  8.29414E+00  5.9859E+00  8.5881E+04  1.5836E-03  8.5881E+04  0.000E+00  7.772E+01
1.705382E-02  8.95658E+00  6.3173E+00  8.4786E+04  2.0761E-03  8.4786E+04  0.000E+00  7.270E+01
1.823053E-02  9.67031E+00  6.5117E+00  8.1755E+04  2.7085E-03  8.1755E+04  0.000E+00  6.801E+01
1.948844E-02  1.04305E+01  6.5573E+00  7.7013E+04  3.5167E-03  7.7013E+04  0.000E+00  6.362E+01
2.083314E-02  1.11203E+01  6.4550E+00  7.0918E+04  4.5440E-03  7.0918E+04  0.000E+00  5.951E+01
2.227063E-02  1.17349E+01  6.2179E+00  6.3904E+04  5.8436E-03  6.3904E+04  0.000E+00  5.567E+01
2.380730E-02  1.22377E+01  5.8684E+00  5.6419E+04  7.4793E-03  5.6419E+04  0.000E+00  5.208E+01
2.545001E-02  1.25975E+01  5.4333E+00  4.8864E+04  9.5279E-03  4.8864E+04  0.000E+00  4.872E+01
2.720606E-02  1.27802E+01  4.9392E+00  4.1553E+04  1.2081E-02  4.1553E+04  0.000E+00  4.557E+01
2.908327E-02  1.27425E+01  4.4187E+00  3.4775E+04  1.5247E-02  3.4775E+04  0.000E+00  4.263E+01
3.109002E-02  1.23960E+01  3.8996E+00  2.8709E+04  1.9154E-02  2.8709E+04  0.000E+00  3.988E+01
3.292800E-02  1.16002E+01  3.4700E+00  2.4120E+04  2.3224E-02  2.4120E+04  0.000E+00  3.765E+01
3.323523E-02  1.13527E+01  3.4028E+00  2.3434E+04  2.3951E-02  2.3434E+04  0.000E+00  3.731E+01
3.343200E-02  1.11252E+01  3.3604E+00  2.3006E+04  2.4424E-02  2.3006E+04  0.000E+00  3.709E+01
3.356640E-02  1.08065E+01  3.3318E+00  2.2719E+04  2.4750E-02  2.2719E+04  0.000E+00  3.694E+01
3.376800E-02  1.09013E+01  3.7405E+00  2.5354E+04  2.5245E-02  2.5354E+04  0.000E+00  3.672E+01
3.427200E-02  1.06426E+01  3.6194E+00  2.4172E+04  2.6506E-02  2.4172E+04  0.000E+00  3.618E+01
3.488800E-02  9.79398E+00  3.4773E+00  2.2813E+04  2.8099E-02  2.2813E+04  0.000E+00  3.554E+01
3.542200E-02  7.64986E+00  3.3593E+00  2.1707E+04  2.9525E-02  2.1707E+04  0.000E+00  3.500E+01
3.552846E-02  6.18367E+00  3.3363E+00  2.1494E+04  2.9814E-02  2.1494E+04  0.000E+00  3.490E+01
3.556440E-02  5.04927E+00  3.3286E+00  2.1422E+04  2.9912E-02  2.1422E+04  0.000E+00  3.486E+01
3.577000E-02  7.68767E+00  8.4061E+00  5.3789E+04  3.0476E-02  5.3789E+04  0.000E+00  3.466E+01
3.577800E-02  7.76490E+00  8.4024E+00  5.3753E+04  3.0499E-02  5.3753E+04  0.000E+00  3.465E+01
3.631750E-02  1.00580E+01  8.1578E+00  5.1413E+04  3.2010E-02  5.1413E+04  0.000E+00  3.414E+01
3.646350E-02  1.02313E+01  8.0933E+00  5.0802E+04  3.2427E-02  5.0802E+04  0.000E+00  3.400E+01
3.668250E-02  1.07991E+01  8.3052E+00  5.1821E+04  3.3058E-02  5.1821E+04  0.000E+00  3.380E+01
3.723000E-02  1.16701E+01  8.0634E+00  4.9573E+04  3.4667E-02  4.9573E+04  0.000E+00  3.330E+01
3.797993E-02  1.23990E+01  7.7505E+00  4.6708E+04  3.6944E-02  4.6708E+04  0.000E+00  3.264E+01
4.060054E-02  1.36087E+01  6.7833E+00  3.8241E+04  4.5572E-02  3.8241E+04  0.000E+00  3.054E+01
4.340198E-02  1.38839E+01  5.8781E+00  3.0999E+04  5.5965E-02  3.0999E+04  0.000E+00  2.857E+01
4.586400E-02  1.31951E+01  5.2040E+00  2.5971E+04  6.6105E-02  2.5971E+04  0.000E+00  2.703E+01
4.639671E-02  1.25737E+01  5.0734E+00  2.5028E+04  6.8423E-02  2.5028E+04  0.000E+00  2.672E+01
4.656600E-02  1.21538E+01  5.0330E+00  2.4738E+04  6.9169E-02  2.4738E+04  0.000E+00  2.663E+01
4.675320E-02  1.08814E+01  4.9889E+00  2.4424E+04  6.9999E-02  2.4424E+04  0.000E+00  2.652E+01
4.703400E-02  1.22052E+01  7.4381E+00  3.6197E+04  7.1254E-02  3.6197E+04  0.000E+00  2.636E+01
4.773600E-02  1.33694E+01  7.2554E+00  3.4788E+04  7.4446E-02  3.4788E+04  0.000E+00  2.597E+01
4.959809E-02  1.43109E+01  6.8159E+00  3.1454E+04  8.3285E-02  3.1454E+04  0.000E+00  2.500E+01
5.302035E-02  1.49342E+01  6.1523E+00  2.6559E+04  1.0093E-01  2.6559E+04  0.000E+00  2.338E+01
5.667876E-02  1.51540E+01  5.5407E+00  2.2375E+04  1.2178E-01  2.2375E+04  0.000E+00  2.187E+01
6.058959E-02  1.51050E+01  5.0115E+00  1.8932E+04  1.4630E-01  1.8932E+04  0.000E+00  2.046E+01
6.477028E-02  1.48547E+01  4.6086E+00  1.6286E+04  1.7501E-01  1.6286E+04  0.000E+00  1.914E+01
6.923942E-02  1.44550E+01  4.3611E+00  1.4416E+04  2.0845E-01  1.4416E+04  0.000E+00  1.791E+01
7.401695E-02  1.39447E+01  4.2864E+00  1.3255E+04  2.4723E-01  1.3255E+04  0.000E+00  1.675E+01
7.555800E-02  1.37648E+01  4.2998E+00  1.3025E+04  2.6039E-01  1.3025E+04  0.000E+00  1.641E+01
7.671450E-02  1.36117E+01  4.3209E+00  1.2892E+04  2.7046E-01  1.2892E+04  0.000E+00  1.616E+01
7.702290E-02  1.35465E+01  4.3281E+00  1.2862E+04  2.7318E-01  1.2862E+04  0.000E+00  1.610E+01
7.748550E-02  1.35269E+01  4.4018E+00  1.3002E+04  2.7727E-01  1.3002E+04  0.000E+00  1.600E+01
7.864200E-02  1.34278E+01  4.4392E+00  1.2920E+04  2.8763E-01  1.2920E+04  0.000E+00  1.577E+01
7.912411E-02  1.33807E+01  4.4574E+00  1.2894E+04  2.9200E-01  1.2894E+04  0.000E+00  1.567E+01
8.458368E-02  1.28282E+01  4.7586E+00  1.2877E+04  3.4342E-01  1.2877E+04  0.000E+00  1.466E+01
9.041995E-02  1.22717E+01  5.2496E+00  1.3288E+04  4.0222E-01  1.3288E+04  0.000E+00  1.371E+01
9.665893E-02  1.17538E+01  5.9297E+00  1.4041E+04  4.6915E-01  1.4041E+04  0.000E+00  1.283E+01
1.033284E-01  1.12287E+01  6.7945E+00  1.5051E+04  5.4497E-01  1.5052E+04  0.000E+00  1.200E+01
1.104581E-01  1.08056E+01  7.8345E+00  1.6234E+04  6.3048E-01  1.6235E+04  0.000E+00  1.122E+01
