
   Ir:    Z = 77;   Atomic weight = 192.2200 g/mol ;    nominal density:   [INLINE] = 2.2390E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.19189E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.18917E+05
          21 edges. Edge energies (keV):
          

  K      7.61110E+01  L I    1.34185E+01  L II   1.28241E+01  L III  1.12152E+01
  M I    3.17370E+00  M II   2.90870E+00  M III  2.55070E+00  M IV   2.11610E+00
  M V    2.04040E+00  N I    6.90100E-01  N II   5.77100E-01  N III  4.94300E-01
  N IV   3.11400E-01  N V    2.94900E-01  N VI   6.34000E-02  N VII  6.05000E-02
  O I    9.52000E-02  O II   6.30000E-02  O III  5.05000E-02  O IV   8.06275E-03
  O V    6.85456E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.6105E+00, -9.4980E-01 e/atom
          Nuclear Thomson correction fNT = -1.6921E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=77, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.717466E-03  4.56877E+00  0.0000E+00  0.0000E+00  3.0701E-05  3.0701E-05  0.000E+00  1.846E+02
6.820284E-03  4.16587E+00  0.0000E+00  0.0000E+00  3.3158E-05  3.3158E-05  0.000E+00  1.818E+02
6.847702E-03  3.73576E+00  0.0000E+00  0.0000E+00  3.3838E-05  3.3838E-05  0.000E+00  1.811E+02
6.888830E-03  4.14282E+00  8.1569E-01  2.5921E+04  3.4878E-05  2.5921E+04  0.000E+00  1.800E+02
6.991648E-03  4.45737E+00  8.0003E-01  2.5050E+04  3.7582E-05  2.5050E+04  0.000E+00  1.773E+02
7.901491E-03  4.03188E+00  6.9950E-01  1.9380E+04  6.8946E-05  1.9380E+04  0.000E+00  1.569E+02
8.022432E-03  3.53288E+00  6.9891E-01  1.9072E+04  7.4251E-05  1.9072E+04  0.000E+00  1.545E+02
8.054683E-03  2.96880E+00  6.9931E-01  1.9006E+04  7.5716E-05  1.9006E+04  0.000E+00  1.539E+02
8.103059E-03  3.53226E+00  1.7893E+00  4.8342E+04  7.7953E-05  4.8342E+04  0.000E+00  1.530E+02
8.224000E-03  3.99314E+00  1.7635E+00  4.6942E+04  8.3762E-05  4.6942E+04  0.000E+00  1.508E+02
1.069000E-02  3.38848E+00  2.2596E+00  4.6273E+04  2.8666E-04  4.6273E+04  0.000E+00  1.160E+02
1.142761E-02  2.96561E+00  2.7630E+00  5.2931E+04  3.8716E-04  5.2931E+04  0.000E+00  1.085E+02
1.221612E-02  2.55014E+00  3.4451E+00  6.1738E+04  5.2026E-04  6.1738E+04  0.000E+00  1.015E+02
1.305903E-02  2.18886E+00  4.3234E+00  7.2476E+04  6.9563E-04  7.2476E+04  0.000E+00  9.494E+01
1.396010E-02  1.94176E+00  5.4058E+00  8.4772E+04  9.2553E-04  8.4772E+04  0.000E+00  8.881E+01
1.492335E-02  1.88002E+00  6.6815E+00  9.8015E+04  1.2253E-03  9.8015E+04  0.000E+00  8.308E+01
1.595306E-02  2.07886E+00  8.1130E+00  1.1133E+05  1.6143E-03  1.1133E+05  0.000E+00  7.772E+01
1.705382E-02  2.60570E+00  9.6315E+00  1.2364E+05  2.1165E-03  1.2364E+05  0.000E+00  7.270E+01
1.823053E-02  3.50548E+00  1.1138E+01  1.3375E+05  2.7614E-03  1.3375E+05  0.000E+00  6.801E+01
1.948844E-02  4.78653E+00  1.2515E+01  1.4058E+05  3.5854E-03  1.4058E+05  0.000E+00  6.362E+01
2.083314E-02  6.44486E+00  1.3638E+01  1.4331E+05  4.6332E-03  1.4331E+05  0.000E+00  5.951E+01
2.227063E-02  8.33051E+00  1.4402E+01  1.4157E+05  5.9588E-03  1.4157E+05  0.000E+00  5.567E+01
2.380730E-02  1.03573E+01  1.4736E+01  1.3550E+05  7.6274E-03  1.3550E+05  0.000E+00  5.208E+01
2.545001E-02  1.24238E+01  1.4616E+01  1.2572E+05  9.7174E-03  1.2572E+05  0.000E+00  4.872E+01
2.720606E-02  1.43236E+01  1.4069E+01  1.1321E+05  1.2322E-02  1.1321E+05  0.000E+00  4.557E+01
2.908327E-02  1.59807E+01  1.3163E+01  9.9084E+04  1.5553E-02  9.9084E+04  0.000E+00  4.263E+01
3.109002E-02  1.73146E+01  1.1994E+01  8.4454E+04  1.9541E-02  8.4454E+04  0.000E+00  3.988E+01
3.323523E-02  1.82867E+01  1.0670E+01  7.0284E+04  2.4439E-02  7.0284E+04  0.000E+00  3.731E+01
3.552846E-02  1.88911E+01  9.2918E+00  5.7254E+04  3.0425E-02  5.7254E+04  0.000E+00  3.490E+01
3.797993E-02  1.91469E+01  7.9469E+00  4.5806E+04  3.7706E-02  4.5806E+04  0.000E+00  3.264E+01
4.060054E-02  1.90841E+01  6.6989E+00  3.6121E+04  4.6519E-02  3.6121E+04  0.000E+00  3.054E+01
4.340198E-02  1.87149E+01  5.5846E+00  2.8168E+04  5.7137E-02  2.8168E+04  0.000E+00  2.857E+01
4.639671E-02  1.79644E+01  4.6190E+00  2.1794E+04  6.9867E-02  2.1794E+04  0.000E+00  2.672E+01
4.949000E-02  1.61569E+01  3.8261E+00  1.6925E+04  8.4518E-02  1.6925E+04  0.000E+00  2.505E+01
4.959809E-02  1.60180E+01  3.8017E+00  1.6780E+04  8.5057E-02  1.6780E+04  0.000E+00  2.500E+01
5.024750E-02  1.44719E+01  3.6588E+00  1.5941E+04  8.8337E-02  1.5941E+04  0.000E+00  2.467E+01
5.044950E-02  1.25153E+01  3.6158E+00  1.5690E+04  8.9372E-02  1.5690E+04  0.000E+00  2.458E+01
5.075250E-02  1.45315E+01  7.3654E+00  3.1770E+04  9.0935E-02  3.1770E+04  0.000E+00  2.443E+01
5.151000E-02  1.62312E+01  7.0780E+00  3.0081E+04  9.4906E-02  3.0081E+04  0.000E+00  2.407E+01
5.302035E-02  1.72269E+01  6.5492E+00  2.7041E+04  1.0310E-01  2.7041E+04  0.000E+00  2.338E+01
5.667876E-02  1.76944E+01  5.4755E+00  2.1149E+04  1.2442E-01  2.1149E+04  0.000E+00  2.187E+01
5.929000E-02  1.73548E+01  4.8462E+00  1.7894E+04  1.4091E-01  1.7894E+04  0.000E+00  2.091E+01
6.019750E-02  1.69764E+01  4.6499E+00  1.6910E+04  1.4688E-01  1.6910E+04  0.000E+00  2.060E+01
6.043950E-02  1.66584E+01  4.5994E+00  1.6660E+04  1.4849E-01  1.6660E+04  0.000E+00  2.051E+01
6.058959E-02  1.66908E+01  5.0898E+00  1.8390E+04  1.4950E-01  1.8390E+04  0.000E+00  2.046E+01
6.080250E-02  1.68392E+01  5.0424E+00  1.8155E+04  1.5093E-01  1.8155E+04  0.000E+00  2.039E+01
6.171000E-02  1.67342E+01  4.8471E+00  1.7195E+04  1.5711E-01  1.7195E+04  0.000E+00  2.009E+01
6.174000E-02  1.67231E+01  4.8408E+00  1.7164E+04  1.5732E-01  1.7164E+04  0.000E+00  2.008E+01
6.213200E-02  1.65270E+01  4.7598E+00  1.6771E+04  1.6003E-01  1.6771E+04  0.000E+00  1.995E+01
6.268500E-02  1.59261E+01  4.6488E+00  1.6235E+04  1.6389E-01  1.6235E+04  0.000E+00  1.978E+01
6.293700E-02  1.49598E+01  4.5995E+00  1.5999E+04  1.6567E-01  1.5999E+04  0.000E+00  1.970E+01
6.308300E-02  1.50907E+01  6.4019E+00  2.2217E+04  1.6670E-01  2.2217E+04  0.000E+00  1.965E+01
6.333660E-02  1.57433E+01  6.3493E+00  2.1946E+04  1.6850E-01  2.1946E+04  0.000E+00  1.958E+01
6.371700E-02  1.63888E+01  6.6245E+00  2.2760E+04  1.7122E-01  2.2760E+04  0.000E+00  1.946E+01
6.426000E-02  1.68506E+01  6.5117E+00  2.2184E+04  1.7514E-01  2.2184E+04  0.000E+00  1.929E+01
6.466800E-02  1.70671E+01  6.4291E+00  2.1764E+04  1.7812E-01  2.1764E+04  0.000E+00  1.917E+01
6.477028E-02  1.71121E+01  6.4087E+00  2.1661E+04  1.7887E-01  2.1661E+04  0.000E+00  1.914E+01
6.923942E-02  1.79097E+01  5.6306E+00  1.7803E+04  2.1309E-01  1.7803E+04  0.000E+00  1.791E+01
7.401695E-02  1.80316E+01  4.9850E+00  1.4744E+04  2.5279E-01  1.4744E+04  0.000E+00  1.675E+01
7.912411E-02  1.78796E+01  4.4354E+00  1.2272E+04  2.9863E-01  1.2272E+04  0.000E+00  1.567E+01
8.458368E-02  1.75331E+01  3.9991E+00  1.0350E+04  3.5130E-01  1.0350E+04  0.000E+00  1.466E+01
9.041995E-02  1.70275E+01  3.6960E+00  8.9484E+03  4.1155E-01  8.9488E+03  0.000E+00  1.371E+01
9.329600E-02  1.67328E+01  3.6047E+00  8.4583E+03  4.4265E-01  8.4587E+03  0.000E+00  1.329E+01
9.472400E-02  1.65559E+01  3.5729E+00  8.2573E+03  4.5842E-01  8.2578E+03  0.000E+00  1.309E+01
9.510480E-02  1.64751E+01  3.5659E+00  8.2081E+03  4.6267E-01  8.2086E+03  0.000E+00  1.304E+01
9.567600E-02  1.64603E+01  3.6404E+00  8.3298E+03  4.6906E-01  8.3303E+03  0.000E+00  1.296E+01
9.665893E-02  1.63907E+01  3.6286E+00  8.2181E+03  4.8014E-01  8.2186E+03  0.000E+00  1.283E+01
9.710400E-02  1.63524E+01  3.6245E+00  8.1713E+03  4.8519E-01  8.1718E+03  0.000E+00  1.277E+01
1.033284E-01  1.57408E+01  3.6506E+00  7.7343E+03  5.5788E-01  7.7349E+03  0.000E+00  1.200E+01
1.104581E-01  1.49948E+01  3.8583E+00  7.6468E+03  6.4557E-01  7.6474E+03  0.000E+00  1.122E+01
1.180797E-01  1.41999E+01  4.2715E+00  7.9193E+03  7.4403E-01  7.9200E+03  0.000E+00  1.050E+01
1.262272E-01  1.33897E+01  4.9107E+00  8.5168E+03  8.5407E-01  8.5177E+03  0.000E+00  9.822E+00
