
   Pt:    Z = 78;   Atomic weight = 195.0800 g/mol ;    nominal density:   [INLINE] = 2.1410E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.23938E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.15708E+05
          21 edges. Edge energies (keV):
          

  K      7.83948E+01  L I    1.38799E+01  L II   1.32726E+01  L III  1.15637E+01
  M I    3.29600E+00  M II   3.02650E+00  M III  2.64540E+00  M IV   2.20190E+00
  M V    2.12160E+00  N I    7.22000E-01  N II   6.09200E-01  N III  5.19000E-01
  N IV   3.30800E-01  N V    3.13300E-01  N VI   7.43000E-02  N VII  7.11000E-02
  O I    1.01700E-01  O II   6.53000E-02  O III  5.17000E-02  O IV   7.43991E-03
  O V    6.12538E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.6659E+00, -9.8160E-01 e/atom
          Nuclear Thomson correction fNT = -1.7109E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=78, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.002872E-03  3.45968E+00  0.0000E+00  0.0000E+00  1.6617E-05  1.6617E-05  0.000E+00  2.065E+02
6.094753E-03  2.90784E+00  0.0000E+00  0.0000E+00  1.7989E-05  1.7989E-05  0.000E+00  2.034E+02
6.119254E-03  2.30428E+00  0.0000E+00  0.0000E+00  1.8369E-05  1.8369E-05  0.000E+00  2.026E+02
6.156007E-03  2.88178E+00  1.1551E+00  4.0474E+04  1.8950E-05  4.0474E+04  0.000E+00  2.014E+02
6.247887E-03  3.34662E+00  1.1481E+00  3.9638E+04  2.0465E-05  3.9638E+04  0.000E+00  1.984E+02
7.291108E-03  3.09785E+00  1.1299E+00  3.3428E+04  4.4924E-05  3.3428E+04  0.000E+00  1.700E+02
7.402706E-03  2.65794E+00  1.1443E+00  3.3345E+04  4.8462E-05  3.3345E+04  0.000E+00  1.675E+02
7.432466E-03  2.16631E+00  1.1487E+00  3.3339E+04  4.9441E-05  3.3339E+04  0.000E+00  1.668E+02
7.477105E-03  2.64967E+00  2.1018E+00  6.0636E+04  5.0935E-05  6.0636E+04  0.000E+00  1.658E+02
7.588704E-03  3.04264E+00  2.1026E+00  5.9765E+04  5.4821E-05  5.9765E+04  0.000E+00  1.634E+02
1.069000E-02  2.24208E+00  3.6800E+00  7.4256E+04  2.7959E-04  7.4256E+04  0.000E+00  1.160E+02
1.142761E-02  1.99002E+00  4.4201E+00  8.3433E+04  3.7801E-04  8.3433E+04  0.000E+00  1.085E+02
1.221612E-02  1.81942E+00  5.3113E+00  9.3785E+04  5.0851E-04  9.3785E+04  0.000E+00  1.015E+02
1.305903E-02  1.77552E+00  6.3469E+00  1.0484E+05  6.8064E-04  1.0484E+05  0.000E+00  9.494E+01
1.396010E-02  1.90630E+00  7.5068E+00  1.1599E+05  9.0651E-04  1.1599E+05  0.000E+00  8.881E+01
1.492335E-02  2.25771E+00  8.7543E+00  1.2654E+05  1.2014E-03  1.2654E+05  0.000E+00  8.308E+01
1.595306E-02  2.86702E+00  1.0035E+01  1.3569E+05  1.5843E-03  1.3569E+05  0.000E+00  7.772E+01
1.705382E-02  3.75549E+00  1.1280E+01  1.4268E+05  2.0792E-03  1.4268E+05  0.000E+00  7.270E+01
1.823053E-02  4.92172E+00  1.2411E+01  1.4685E+05  2.7153E-03  1.4685E+05  0.000E+00  6.801E+01
1.948844E-02  6.40179E+00  1.3349E+01  1.4775E+05  3.5290E-03  1.4775E+05  0.000E+00  6.362E+01
2.083314E-02  8.01344E+00  1.4024E+01  1.4520E+05  4.5645E-03  1.4520E+05  0.000E+00  5.951E+01
2.227063E-02  9.74487E+00  1.4387E+01  1.3935E+05  5.8757E-03  1.3935E+05  0.000E+00  5.567E+01
2.380730E-02  1.15501E+01  1.4416E+01  1.3062E+05  7.5277E-03  1.3062E+05  0.000E+00  5.208E+01
2.545001E-02  1.32561E+01  1.4117E+01  1.1965E+05  9.5989E-03  1.1965E+05  0.000E+00  4.872E+01
2.720606E-02  1.48194E+01  1.3517E+01  1.0717E+05  1.2183E-02  1.0717E+05  0.000E+00  4.557E+01
2.908327E-02  1.61720E+01  1.2675E+01  9.4012E+04  1.5390E-02  9.4012E+04  0.000E+00  4.263E+01
3.109002E-02  1.72718E+01  1.1661E+01  8.0908E+04  1.9351E-02  8.0908E+04  0.000E+00  3.988E+01
3.323523E-02  1.80957E+01  1.0543E+01  6.8426E+04  2.4221E-02  6.8426E+04  0.000E+00  3.731E+01
3.552846E-02  1.86414E+01  9.3903E+00  5.7012E+04  3.0178E-02  5.7012E+04  0.000E+00  3.490E+01
3.797993E-02  1.89220E+01  8.2613E+00  4.6920E+04  3.7429E-02  4.6920E+04  0.000E+00  3.264E+01
4.060054E-02  1.89530E+01  7.1971E+00  3.8238E+04  4.6214E-02  3.8238E+04  0.000E+00  3.054E+01
4.340198E-02  1.87355E+01  6.2238E+00  3.0932E+04  5.6804E-02  3.0932E+04  0.000E+00  2.857E+01
4.639671E-02  1.82131E+01  5.3545E+00  2.4894E+04  6.9511E-02  2.4894E+04  0.000E+00  2.672E+01
4.959809E-02  1.70219E+01  4.5925E+00  1.9973E+04  8.4684E-02  1.9973E+04  0.000E+00  2.500E+01
5.066600E-02  1.61027E+01  4.3714E+00  1.8611E+04  9.0111E-02  1.8611E+04  0.000E+00  2.447E+01
5.144150E-02  1.42792E+01  4.2200E+00  1.7696E+04  9.4166E-02  1.7696E+04  0.000E+00  2.410E+01
5.164830E-02  1.21130E+01  4.1809E+00  1.7462E+04  9.5263E-02  1.7462E+04  0.000E+00  2.401E+01
5.195850E-02  1.43873E+01  8.3732E+00  3.4762E+04  9.6922E-02  3.4762E+04  0.000E+00  2.386E+01
5.273400E-02  1.63401E+01  8.0731E+00  3.3023E+04  1.0114E-01  3.3023E+04  0.000E+00  2.351E+01
5.302035E-02  1.66791E+01  7.9662E+00  3.2410E+04  1.0272E-01  3.2410E+04  0.000E+00  2.338E+01
5.667876E-02  1.82365E+01  6.7610E+00  2.5731E+04  1.2404E-01  2.5731E+04  0.000E+00  2.187E+01
6.058959E-02  1.83622E+01  5.7339E+00  2.0414E+04  1.4915E-01  2.0414E+04  0.000E+00  2.046E+01
6.399400E-02  1.76527E+01  5.0073E+00  1.6878E+04  1.7291E-01  1.6878E+04  0.000E+00  1.937E+01
6.477028E-02  1.70874E+01  4.8606E+00  1.6187E+04  1.7857E-01  1.6187E+04  0.000E+00  1.914E+01
6.497350E-02  1.67849E+01  4.8232E+00  1.6013E+04  1.8007E-01  1.6013E+04  0.000E+00  1.908E+01
6.523470E-02  1.57840E+01  4.7758E+00  1.5792E+04  1.8200E-01  1.5792E+04  0.000E+00  1.901E+01
6.562650E-02  1.67772E+01  6.6487E+00  2.1854E+04  1.8492E-01  2.1854E+04  0.000E+00  1.889E+01
6.660600E-02  1.76018E+01  6.4648E+00  2.0937E+04  1.9231E-01  2.0937E+04  0.000E+00  1.861E+01
6.923942E-02  1.80672E+01  6.0159E+00  1.8742E+04  2.1288E-01  1.8742E+04  0.000E+00  1.791E+01
6.967800E-02  1.80661E+01  5.9470E+00  1.8411E+04  2.1640E-01  1.8411E+04  0.000E+00  1.779E+01
7.074450E-02  1.78893E+01  5.7860E+00  1.7642E+04  2.2508E-01  1.7642E+04  0.000E+00  1.753E+01
7.102890E-02  1.75907E+01  5.7446E+00  1.7446E+04  2.2742E-01  1.7446E+04  0.000E+00  1.746E+01
