
   Hg:    Z = 80;   Atomic weight = 200.5900 g/mol ;    nominal density:   [INLINE] = 1.3522E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.33088E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.09783E+05
          22 edges. Edge energies (keV):
          

  K      8.31023E+01  L I    1.48393E+01  L II   1.42087E+01  L III  1.22839E+01
  M I    3.56160E+00  M II   3.27850E+00  M III  2.84710E+00  M IV   2.38490E+00
  M V    2.29490E+00  N I    8.00300E-01  N II   6.76900E-01  N III  5.71000E-01
  N IV   3.78300E-01  N V    3.59800E-01  N VI   1.02200E-01  N VII  9.85000E-02
  O I    1.20300E-01  O II   8.05000E-02  O III  5.76000E-02  O IV   6.40000E-03
  O V    6.40000E-03  P I    7.71361E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.7805E+00, -1.0458E+00 e/atom
          Nuclear Thomson correction fNT = -1.7503E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=80, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.272000E-03  2.49501E+00  0.0000E+00  0.0000E+00  1.8668E-05  1.8668E-05  0.000E+00  1.977E+02
6.368000E-03  1.42832E+00  0.0000E+00  0.0000E+00  2.0206E-05  2.0206E-05  0.000E+00  1.947E+02
6.393600E-03  2.00589E-01  0.0000E+00  0.0000E+00  2.0632E-05  2.0632E-05  0.000E+00  1.939E+02
6.432000E-03  1.44193E+00  2.3873E+00  7.7863E+04  2.1285E-05  7.7863E+04  0.000E+00  1.928E+02
6.528000E-03  2.48802E+00  2.3365E+00  7.5086E+04  2.2984E-05  7.5086E+04  0.000E+00  1.899E+02
7.559334E-03  3.10590E+00  1.9852E+00  5.5092E+04  4.8476E-05  5.5092E+04  0.000E+00  1.640E+02
7.675038E-03  2.74244E+00  1.9863E+00  5.4292E+04  5.2294E-05  5.4292E+04  0.000E+00  1.615E+02
7.705893E-03  2.33399E+00  1.9879E+00  5.4117E+04  5.3350E-05  5.4117E+04  0.000E+00  1.609E+02
7.752174E-03  2.73258E+00  2.7770E+00  7.5150E+04  5.4963E-05  7.5150E+04  0.000E+00  1.599E+02
7.867878E-03  3.05471E+00  2.7791E+00  7.4100E+04  5.9156E-05  7.4100E+04  0.000E+00  1.576E+02
