
   Pb:    Z = 82;   Atomic weight = 207.2000 g/mol ;    nominal density:   [INLINE] = 1.1330E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.44064E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.03090E+05
          23 edges. Edge energies (keV):
          

  K      8.80045E+01  L I    1.58608E+01  L II   1.52000E+01  L III  1.30352E+01
  M I    3.85070E+00  M II   3.55420E+00  M III  3.06640E+00  M IV   2.58560E+00
  M V    2.48400E+00  N I    8.93600E-01  N II   7.63900E-01  N III  6.44500E-01
  N IV   4.35200E-01  N V    4.12900E-01  N VI   1.42900E-01  N VII  1.38100E-01
  O I    1.47300E-01  O II   1.04800E-01  O III  8.60000E-02  O IV   2.18000E-02
  O V    1.92000E-02  P I    1.16904E-02  P II   4.91166E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.9001E+00, -1.1136E+00 e/atom
          Nuclear Thomson correction fNT = -1.7802E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=82, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

4.813430E-03  3.38841E+00  0.0000E+00  0.0000E+00  3.9317E-06  3.9317E-06  0.000E+00  2.576E+02
4.887105E-03  2.16509E+00  0.0000E+00  0.0000E+00  4.2792E-06  4.2792E-06  0.000E+00  2.537E+02
4.906751E-03  7.08129E-01  0.0000E+00  0.0000E+00  4.3757E-06  4.3757E-06  0.000E+00  2.527E+02
4.936221E-03  2.21405E+00  2.8636E+00  1.1782E+05  4.5238E-06  1.1782E+05  0.000E+00  2.512E+02
5.009896E-03  3.52849E+00  2.8173E+00  1.1421E+05  4.9111E-06  1.1421E+05  0.000E+00  2.475E+02
1.069000E-02  6.12159E+00  1.3573E+00  2.5787E+04  2.3074E-04  2.5787E+04  0.000E+00  1.160E+02
1.142761E-02  5.67907E+00  1.2692E+00  2.2557E+04  3.1352E-04  2.2557E+04  0.000E+00  1.085E+02
1.145657E-02  5.64148E+00  1.2659E+00  2.2441E+04  3.1716E-04  2.2441E+04  0.000E+00  1.082E+02
1.163193E-02  5.19902E+00  1.2463E+00  2.1759E+04  3.3983E-04  2.1759E+04  0.000E+00  1.066E+02
1.167869E-02  4.68408E+00  1.2411E+00  2.1582E+04  3.4607E-04  2.1582E+04  0.000E+00  1.062E+02
1.174883E-02  5.21287E+00  2.2376E+00  3.8679E+04  3.5558E-04  3.8679E+04  0.000E+00  1.055E+02
1.192419E-02  5.66050E+00  2.1885E+00  3.7273E+04  3.8019E-04  3.7273E+04  0.000E+00  1.040E+02
1.221612E-02  5.90044E+00  2.1105E+00  3.5086E+04  4.2384E-04  3.5086E+04  0.000E+00  1.015E+02
1.305903E-02  6.07869E+00  1.9076E+00  2.9667E+04  5.7008E-04  2.9667E+04  0.000E+00  9.494E+01
1.396010E-02  6.02655E+00  1.7018E+00  2.4757E+04  7.6292E-04  2.4757E+04  0.000E+00  8.881E+01
1.492335E-02  5.81490E+00  1.4986E+00  2.0394E+04  1.0159E-03  2.0394E+04  0.000E+00  8.308E+01
1.595306E-02  5.45014E+00  1.3107E+00  1.6685E+04  1.3460E-03  1.6685E+04  0.000E+00  7.772E+01
1.705382E-02  4.89700E+00  1.1436E+00  1.3619E+04  1.7746E-03  1.3619E+04  0.000E+00  7.270E+01
1.823053E-02  4.02014E+00  9.9837E-01  1.1122E+04  2.3281E-03  1.1122E+04  0.000E+00  6.801E+01
1.881600E-02  3.29032E+00  9.3683E-01  1.0112E+04  2.6431E-03  1.0112E+04  0.000E+00  6.589E+01
1.910400E-02  2.51533E+00  9.0880E-01  9.6613E+03  2.8082E-03  9.6613E+03  0.000E+00  6.490E+01
1.918080E-02  1.79146E+00  9.0157E-01  9.5460E+03  2.8534E-03  9.5460E+03  0.000E+00  6.464E+01
1.929600E-02  2.34505E+00  2.1978E+00  2.3132E+04  2.9221E-03  2.3132E+04  0.000E+00  6.425E+01
1.948844E-02  2.64261E+00  2.2270E+00  2.3207E+04  3.0393E-03  2.3207E+04  0.000E+00  6.362E+01
1.958400E-02  2.68664E+00  2.2421E+00  2.3251E+04  3.0987E-03  2.3251E+04  0.000E+00  6.331E+01
2.083314E-02  2.28932E+00  2.4791E+00  2.4168E+04  3.9486E-03  2.4168E+04  0.000E+00  5.951E+01
2.136400E-02  1.86513E+00  2.6027E+00  2.4742E+04  4.3527E-03  2.4742E+04  0.000E+00  5.803E+01
2.169100E-02  1.37937E+00  2.6896E+00  2.5182E+04  4.6149E-03  2.5182E+04  0.000E+00  5.716E+01
2.177820E-02  9.80532E-01  2.7143E+00  2.5312E+04  4.6865E-03  2.5312E+04  0.000E+00  5.693E+01
2.190900E-02  1.22209E+00  3.4302E+00  3.1797E+04  4.7954E-03  3.1797E+04  0.000E+00  5.659E+01
2.223600E-02  1.30011E+00  3.5893E+00  3.2783E+04  5.0749E-03  3.2783E+04  0.000E+00  5.576E+01
2.227063E-02  1.29420E+00  3.6069E+00  3.2892E+04  5.1051E-03  3.2892E+04  0.000E+00  5.567E+01
2.380730E-02  6.54426E-01  4.5357E+00  3.8692E+04  6.5687E-03  3.8692E+04  0.000E+00  5.208E+01
2.545001E-02 -1.46130E-01  5.8566E+00  4.6736E+04  8.4115E-03  4.6736E+04  0.000E+00  4.872E+01
2.720606E-02 -8.49767E-01  7.6272E+00  5.6937E+04  1.0720E-02  5.6937E+04  0.000E+00  4.557E+01
2.908327E-02 -1.26341E+00  9.8580E+00  6.8839E+04  1.3598E-02  6.8839E+04  0.000E+00  4.263E+01
3.109002E-02 -1.18520E+00  1.2488E+01  8.1576E+04  1.7169E-02  8.1576E+04  0.000E+00  3.988E+01
3.323523E-02 -4.30245E-01  1.5367E+01  9.3901E+04  2.1575E-02  9.3901E+04  0.000E+00  3.731E+01
3.552846E-02  1.12440E+00  1.8258E+01  1.0437E+05  2.6988E-02  1.0437E+05  0.000E+00  3.490E+01
3.797993E-02  3.49835E+00  2.0870E+01  1.1160E+05  3.3602E-02  1.1160E+05  0.000E+00  3.264E+01
