
   Bi:    Z = 83;   Atomic weight = 208.9804 g/mol ;    nominal density:   [INLINE] = 9.7300E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.47020E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.01360E+05
          23 edges. Edge energies (keV):
          

  K      9.05259E+01  L I    1.63875E+01  L II   1.57111E+01  L III  1.34186E+01
  M I    3.99910E+00  M II   3.69630E+00  M III  3.17690E+00  M IV   2.68760E+00
  M V    2.57960E+00  N I    9.38200E-01  N II   8.05300E-01  N III  6.78900E-01
  N IV   4.63600E-01  N V    4.40000E-01  N VI   1.61900E-01  N VII  1.57400E-01
  O I    1.59300E-01  O II   1.16800E-01  O III  9.28000E-02  O IV   2.65000E-02
  O V    2.44000E-02  P I    1.42334E-02  P II   6.16991E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.9618E+00, -1.1484E+00 e/atom
          Nuclear Thomson correction fNT = -1.8084E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=83, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.046510E-03  1.28464E+00  0.0000E+00  0.0000E+00  1.1814E-05  1.1814E-05  0.000E+00  2.051E+02
6.139059E-03 -1.80675E-01  0.0000E+00  0.0000E+00  1.2814E-05  1.2814E-05  0.000E+00  2.020E+02
6.163738E-03 -1.91459E+00  0.0000E+00  0.0000E+00  1.3092E-05  1.3092E-05  0.000E+00  2.012E+02
6.200758E-03 -1.37486E-01  3.4020E+00  1.1047E+05  1.3516E-05  1.1047E+05  0.000E+00  2.000E+02
6.293306E-03  1.40890E+00  3.3618E+00  1.0756E+05  1.4625E-05  1.0756E+05  0.000E+00  1.970E+02
1.069000E-02  4.97863E+00  2.2826E+00  4.2995E+04  2.0606E-04  4.2995E+04  0.000E+00  1.160E+02
1.142761E-02  4.97869E+00  2.1596E+00  3.8053E+04  2.8085E-04  3.8053E+04  0.000E+00  1.085E+02
1.221612E-02  4.91679E+00  2.0341E+00  3.3528E+04  3.8084E-04  3.3528E+04  0.000E+00  1.015E+02
1.305903E-02  4.76197E+00  1.9063E+00  2.9394E+04  5.1378E-04  2.9394E+04  0.000E+00  9.494E+01
1.396010E-02  4.32198E+00  1.7772E+00  2.5635E+04  6.8961E-04  2.5635E+04  0.000E+00  8.881E+01
1.416222E-02  3.93071E+00  1.7493E+00  2.4872E+04  7.3427E-04  2.4872E+04  0.000E+00  8.755E+01
1.421916E-02  3.46074E+00  1.7415E+00  2.4662E+04  7.4721E-04  2.4662E+04  0.000E+00  8.720E+01
1.430456E-02  3.94974E+00  2.6458E+00  3.7244E+04  7.6692E-04  3.7244E+04  0.000E+00  8.667E+01
1.451806E-02  4.35860E+00  2.5748E+00  3.5711E+04  8.1782E-04  3.5711E+04  0.000E+00  8.540E+01
1.492335E-02  4.57910E+00  2.4480E+00  3.3031E+04  9.2094E-04  3.3031E+04  0.000E+00  8.308E+01
1.595306E-02  4.63786E+00  2.1658E+00  2.7337E+04  1.2237E-03  2.7337E+04  0.000E+00  7.772E+01
1.705382E-02  4.45056E+00  1.9095E+00  2.2546E+04  1.6179E-03  2.2546E+04  0.000E+00  7.270E+01
1.823053E-02  4.09469E+00  1.6789E+00  1.8544E+04  2.1284E-03  1.8544E+04  0.000E+00  6.801E+01
1.948844E-02  3.57158E+00  1.4744E+00  1.5234E+04  2.7862E-03  1.5234E+04  0.000E+00  6.362E+01
2.083314E-02  2.85179E+00  1.2942E+00  1.2509E+04  3.6295E-03  1.2509E+04  0.000E+00  5.951E+01
2.227063E-02  1.84894E+00  1.1360E+00  1.0271E+04  4.7049E-03  1.0271E+04  0.000E+00  5.567E+01
2.380730E-02  2.79116E-01  9.9700E-01  8.4326E+03  6.0695E-03  8.4326E+03  0.000E+00  5.208E+01
2.391200E-02  1.27349E-01  9.8848E-01  8.3239E+03  6.1709E-03  8.3239E+03  0.000E+00  5.185E+01
2.427800E-02 -6.05839E-01  9.5954E-01  7.9584E+03  6.5344E-03  7.9584E+03  0.000E+00  5.107E+01
2.437560E-02 -1.10786E+00  9.5204E-01  7.8645E+03  6.6336E-03  7.8645E+03  0.000E+00  5.086E+01
2.452200E-02 -9.40591E-01  1.7065E+00  1.4012E+04  6.7843E-03  1.4012E+04  0.000E+00  5.056E+01
2.488800E-02 -1.08707E+00  1.8034E+00  1.4591E+04  7.1709E-03  1.4591E+04  0.000E+00  4.982E+01
2.545001E-02 -1.64041E+00  1.9899E+00  1.5744E+04  7.7921E-03  1.5744E+04  0.000E+00  4.872E+01
2.597000E-02 -2.28637E+00  2.2093E+00  1.7130E+04  8.3972E-03  1.7130E+04  0.000E+00  4.774E+01
2.636750E-02 -2.93846E+00  2.4120E+00  1.8420E+04  8.8797E-03  1.8420E+04  0.000E+00  4.702E+01
2.647350E-02 -3.27904E+00  2.4718E+00  1.8801E+04  9.0114E-03  1.8801E+04  0.000E+00  4.683E+01
2.663250E-02 -3.29644E+00  2.9799E+00  2.2530E+04  9.2112E-03  2.2530E+04  0.000E+00  4.655E+01
2.703000E-02 -3.63457E+00  3.3173E+00  2.4712E+04  9.7233E-03  2.4712E+04  0.000E+00  4.587E+01
2.720606E-02 -3.82014E+00  3.4805E+00  2.5760E+04  9.9558E-03  2.5760E+04  0.000E+00  4.557E+01
2.908327E-02 -5.89222E+00  5.7491E+00  3.9804E+04  1.2660E-02  3.9804E+04  0.000E+00  4.263E+01
3.109002E-02 -7.62257E+00  9.2212E+00  5.9723E+04  1.6022E-02  5.9723E+04  0.000E+00  3.988E+01
3.323523E-02 -8.35979E+00  1.3756E+01  8.3345E+04  2.0182E-02  8.3345E+04  0.000E+00  3.731E+01
3.552846E-02 -7.57550E+00  1.8920E+01  1.0723E+05  2.5304E-02  1.0723E+05  0.000E+00  3.490E+01
3.797993E-02 -5.00556E+00  2.4015E+01  1.2732E+05  3.1579E-02  1.2732E+05  0.000E+00  3.264E+01
4.060054E-02 -7.72435E-01  2.8271E+01  1.4021E+05  3.9228E-02  1.4021E+05  0.000E+00  3.054E+01
4.340198E-02  4.64125E+00  3.1078E+01  1.4419E+05  4.8507E-02  1.4419E+05  0.000E+00  2.857E+01
4.639671E-02  1.05467E+01  3.2139E+01  1.3948E+05  5.9707E-02  1.3948E+05  0.000E+00  2.672E+01
4.959809E-02  1.62480E+01  3.1504E+01  1.2790E+05  7.3162E-02  1.2790E+05  0.000E+00  2.500E+01
5.302035E-02  2.12033E+01  2.9491E+01  1.1200E+05  8.9247E-02  1.1200E+05  0.000E+00  2.338E+01
5.667876E-02  2.51009E+01  2.6556E+01  9.4344E+04  1.0838E-01  9.4344E+04  0.000E+00  2.187E+01
6.058959E-02  2.78531E+01  2.3160E+01  7.6968E+04  1.3104E-01  7.6968E+04  0.000E+00  2.046E+01
6.477028E-02  2.95388E+01  1.9688E+01  6.1207E+04  1.5773E-01  6.1207E+04  0.000E+00  1.914E+01
6.923942E-02  3.03295E+01  1.6411E+01  4.7726E+04  1.8903E-01  4.7726E+04  0.000E+00  1.791E+01
7.401695E-02  3.04572E+01  1.3486E+01  3.6688E+04  2.2556E-01  3.6688E+04  0.000E+00  1.675E+01
7.912411E-02  3.00351E+01  1.0980E+01  2.7942E+04  2.6799E-01  2.7942E+04  0.000E+00  1.567E+01
8.458368E-02  2.92314E+01  8.8954E+00  2.1176E+04  3.1704E-01  2.1176E+04  0.000E+00  1.466E+01
9.041995E-02  2.78160E+01  7.1994E+00  1.6033E+04  3.7347E-01  1.6033E+04  0.000E+00  1.371E+01
9.094400E-02  2.76060E+01  7.0692E+00  1.5652E+04  3.7874E-01  1.5652E+04  0.000E+00  1.363E+01
9.233600E-02  2.66090E+01  6.7387E+00  1.4695E+04  3.9286E-01  1.4695E+04  0.000E+00  1.343E+01
9.270720E-02  2.55780E+01  6.6542E+00  1.4453E+04  3.9666E-01  1.4453E+04  0.000E+00  1.337E+01
9.326400E-02  2.65515E+01  8.4652E+00  1.8277E+04  4.0240E-01  1.8277E+04  0.000E+00  1.329E+01
9.465600E-02  2.72752E+01  8.0859E+00  1.7201E+04  4.1688E-01  1.7201E+04  0.000E+00  1.310E+01
9.665893E-02  2.74823E+01  7.5808E+00  1.5792E+04  4.3809E-01  1.5792E+04  0.000E+00  1.283E+01
1.033284E-01  2.71254E+01  6.1948E+00  1.2072E+04  5.1173E-01  1.2073E+04  0.000E+00  1.200E+01
1.104581E-01  2.62374E+01  5.1249E+00  9.3424E+03  5.9527E-01  9.3430E+03  0.000E+00  1.122E+01
1.144640E-01  2.54904E+01  4.6628E+00  8.2025E+03  6.4422E-01  8.2031E+03  0.000E+00  1.083E+01
