
   Po:    Z = 84;   Atomic weight = 209.0000 g/mol ;    nominal density:   [INLINE] = 9.3000E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.47053E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.01341E+05
          24 edges. Edge energies (keV):
          

    24 edges. Edge energies (keV):
  K      9.31050E+01  L I    1.69393E+01  L II   1.62443E+01  L III  1.38138E+01
  M I    4.14940E+00  M II   3.85410E+00  M III  3.30190E+00  M IV   2.79800E+00
  M V    2.68300E+00  N I    9.95300E-01  N II   8.51000E-01  N III  7.05000E-01
  N IV   5.00200E-01  N V    4.73400E-01  N VI   1.75344E-01  N VII  1.69362E-01
  O I    1.70906E-01  O II   1.25695E-01  O III  9.83141E-02  O IV   3.14000E-02
  O V    3.14000E-02  P I    1.67777E-02  P II   7.55974E-03  P III  5.39477E-03

          Relativistic correction estimate frel (H82,3/5CL) = -2.0248E+00, -1.1838E+00 e/atom
          Nuclear Thomson correction fNT = -1.8520E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=84, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

5.286876E-03 -9.37416E-01  0.0000E+00  0.0000E+00  5.1517E-06  5.1517E-06  0.000E+00  2.345E+02
5.367797E-03 -2.41276E+00  0.0000E+00  0.0000E+00  5.6056E-06  5.6056E-06  0.000E+00  2.310E+02
5.389376E-03 -4.15553E+00  0.0000E+00  0.0000E+00  5.7317E-06  5.7317E-06  0.000E+00  2.301E+02
5.421745E-03 -2.35734E+00  3.4161E+00  1.2686E+05  5.9250E-06  1.2686E+05  0.000E+00  2.287E+02
5.502667E-03 -8.04519E-01  3.3425E+00  1.2230E+05  6.4306E-06  1.2230E+05  0.000E+00  2.253E+02
7.408549E-03 -4.02942E-01  2.3271E+00  6.3243E+04  3.1427E-05  6.3243E+04  0.000E+00  1.674E+02
7.521945E-03 -1.99692E+00  2.2951E+00  6.1432E+04  3.3981E-05  6.1432E+04  0.000E+00  1.648E+02
7.552184E-03 -3.91935E+00  2.2868E+00  6.0965E+04  3.4688E-05  6.0965E+04  0.000E+00  1.642E+02
7.597543E-03 -1.93282E+00  6.0662E+00  1.6076E+05  3.5769E-05  1.6076E+05  0.000E+00  1.632E+02
7.710939E-03 -1.78513E-01  6.0099E+00  1.5692E+05  3.8585E-05  1.5692E+05  0.000E+00  1.608E+02
1.069000E-02  4.34264E+00  4.8462E+00  9.1275E+04  1.9188E-04  9.1275E+04  0.000E+00  1.160E+02
1.142761E-02  4.66024E+00  4.5909E+00  8.0886E+04  2.6216E-04  8.0886E+04  0.000E+00  1.085E+02
1.221612E-02  4.90165E+00  4.3239E+00  7.1265E+04  3.5634E-04  7.1265E+04  0.000E+00  1.015E+02
1.305903E-02  5.06722E+00  4.0467E+00  6.2391E+04  4.8186E-04  6.2391E+04  0.000E+00  9.494E+01
1.396010E-02  5.15153E+00  3.7622E+00  5.4260E+04  6.4826E-04  5.4260E+04  0.000E+00  8.881E+01
1.492335E-02  5.13926E+00  3.4740E+00  4.6870E+04  8.6769E-04  4.6870E+04  0.000E+00  8.308E+01
1.595306E-02  4.97290E+00  3.1862E+00  4.0212E+04  1.1555E-03  4.0212E+04  0.000E+00  7.772E+01
1.644213E-02  4.75222E+00  3.0571E+00  3.7436E+04  1.3133E-03  3.7436E+04  0.000E+00  7.541E+01
1.669379E-02  4.40369E+00  2.9927E+00  3.6094E+04  1.4001E-03  3.6094E+04  0.000E+00  7.427E+01
