
   At:    Z = 85;   Atomic weight = 210.0000 g/mol ;    nominal density:   [INLINE] = 1.0000E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.48713E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.00382E+05
          24 edges. Edge energies (keV):
          

  K      9.57299E+01  L I    1.74930E+01  L II   1.67847E+01  L III  1.42135E+01
  M I    4.31700E+00  M II   4.00800E+00  M III  3.42600E+00  M IV   2.90870E+00
  M V    2.78670E+00  N I    1.04200E+00  N II   8.86000E-01  N III  7.40000E-01
  N IV   5.33200E-01  N V    4.75385E-01  N VI   1.97076E-01  N VII  1.90577E-01
  O I    1.85617E-01  O II   1.38499E-01  O III  1.08426E-01  O IV   4.15942E-02
  O V    3.76618E-02  P I    1.93390E-02  P II   9.03104E-03  P III  6.24450E-03

          Relativistic correction estimate frel (H82,3/5CL) = -2.0891E+00, -1.2198E+00 e/atom
          Nuclear Thomson correction fNT = -1.8874E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=85, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.119614E-03 -2.41657E-01  0.0000E+00  0.0000E+00  1.0124E-05  1.0124E-05  0.000E+00  2.026E+02
6.213281E-03 -2.69168E+00  0.0000E+00  0.0000E+00  1.0994E-05  1.0994E-05  0.000E+00  1.995E+02
6.238259E-03 -5.59099E+00  0.0000E+00  0.0000E+00  1.1236E-05  1.1236E-05  0.000E+00  1.987E+02
6.275726E-03 -2.60900E+00  5.6874E+00  1.8160E+05  1.1605E-05  1.8160E+05  0.000E+00  1.976E+02
6.369394E-03 -2.10624E-02  5.5961E+00  1.7605E+05  1.2571E-05  1.7605E+05  0.000E+00  1.947E+02
8.850419E-03  2.63911E+00  4.0899E+00  9.2600E+04  6.9174E-05  9.2600E+04  0.000E+00  1.401E+02
8.985884E-03  9.21561E-01  4.0368E+00  9.0020E+04  7.4605E-05  9.0020E+04  0.000E+00  1.380E+02
9.022009E-03 -1.18057E+00  4.0229E+00  8.9349E+04  7.6105E-05  8.9349E+04  0.000E+00  1.374E+02
9.076195E-03  1.00680E+00  8.1650E+00  1.8027E+05  7.8399E-05  1.8027E+05  0.000E+00  1.366E+02
9.211660E-03  2.96014E+00  8.0974E+00  1.7614E+05  8.4358E-05  1.7614E+05  0.000E+00  1.346E+02
1.069000E-02  6.82483E+00  7.4081E+00  1.3886E+05  1.7357E-04  1.3886E+05  0.000E+00  1.160E+02
1.142761E-02  7.64511E+00  7.0693E+00  1.2396E+05  2.3782E-04  1.2396E+05  0.000E+00  1.085E+02
1.221612E-02  8.30377E+00  6.7047E+00  1.0998E+05  3.2416E-04  1.0998E+05  0.000E+00  1.015E+02
1.305903E-02  8.83986E+00  6.3150E+00  9.6900E+04  4.3954E-04  9.6900E+04  0.000E+00  9.494E+01
1.396010E-02  9.26885E+00  5.9041E+00  8.4748E+04  5.9291E-04  8.4748E+04  0.000E+00  8.881E+01
1.492335E-02  9.59618E+00  5.4778E+00  7.3553E+04  7.9571E-04  7.3553E+04  0.000E+00  8.308E+01
1.595306E-02  9.82142E+00  5.0430E+00  6.3344E+04  1.0624E-03  6.3344E+04  0.000E+00  7.772E+01
1.705382E-02  9.93647E+00  4.6073E+00  5.4135E+04  1.4113E-03  5.4135E+04  0.000E+00  7.270E+01
1.823053E-02  9.90480E+00  4.1779E+00  4.5921E+04  1.8654E-03  4.5921E+04  0.000E+00  6.801E+01
1.895220E-02  9.72269E+00  3.9337E+00  4.1591E+04  2.1890E-03  4.1591E+04  0.000E+00  6.542E+01
1.924229E-02  9.43058E+00  3.8396E+00  3.9984E+04  2.3294E-03  3.9984E+04  0.000E+00  6.443E+01
1.931964E-02  9.06984E+00  3.8149E+00  3.9568E+04  2.3678E-03  3.9568E+04  0.000E+00  6.418E+01
1.943568E-02  9.46307E+00  4.4914E+00  4.6307E+04  2.4263E-03  4.6307E+04  0.000E+00  6.379E+01
1.948844E-02  9.56904E+00  4.4669E+00  4.5929E+04  2.4532E-03  4.5929E+04  0.000E+00  6.362E+01
1.972576E-02  9.80054E+00  4.3587E+00  4.4278E+04  2.5768E-03  4.4278E+04  0.000E+00  6.285E+01
2.083314E-02  1.00552E+01  3.8991E+00  3.7503E+04  3.2102E-03  3.7503E+04  0.000E+00  5.951E+01
2.227063E-02  9.99527E+00  3.3974E+00  3.0568E+04  4.1799E-03  3.0568E+04  0.000E+00  5.567E+01
2.380730E-02  9.75723E+00  2.9578E+00  2.4895E+04  5.4159E-03  2.4895E+04  0.000E+00  5.208E+01
2.545001E-02  9.38258E+00  2.5720E+00  2.0251E+04  6.9829E-03  2.0251E+04  0.000E+00  4.872E+01
2.720606E-02  8.87291E+00  2.2342E+00  1.6456E+04  8.9597E-03  1.6456E+04  0.000E+00  4.557E+01
