
   Ac:    Z = 89;   Atomic weight = 227.0278 g/mol ;    nominal density:   [INLINE] = 1.0050E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.76989E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  1.85353E+05
          24 edges. Edge energies (keV):
          

  K      1.06755E+02  L I    1.98400E+01  L II   1.90832E+01  L III  1.58710E+01
  M I    5.00200E+00  M II   4.65600E+00  M III  3.90900E+00  M IV   3.37020E+00
  M V    3.21900E+00  N I    1.26900E+00  N II   1.08000E+00  N III  8.90000E-01
  N IV   6.74900E-01  N V    6.37000E-01  N VI   3.03944E-01  N VII  2.95067E-01
  O I    2.61255E-01  O II   2.06171E-01  O III  1.63235E-01  O IV   8.31361E-02
  O V    7.69389E-02  P I    4.04636E-02  P II   2.51851E-02  P III  1.84021E-02

          Relativistic correction estimate frel (H82,3/5CL) = -2.3597E+00, -1.3722E+00 e/atom
          Nuclear Thomson correction fNT = -1.9140E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=89, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

1.069000E-02  1.98738E+01  0.0000E+00  0.0000E+00  1.2142E-04  1.2142E-04  0.000E+00  1.160E+02
1.142761E-02  1.97310E+01  0.0000E+00  0.0000E+00  1.6777E-04  1.6777E-04  0.000E+00  1.085E+02
1.221612E-02  1.95519E+01  0.0000E+00  0.0000E+00  2.3056E-04  2.3056E-04  0.000E+00  1.015E+02
1.305903E-02  1.93217E+01  0.0000E+00  0.0000E+00  3.1518E-04  3.1518E-04  0.000E+00  9.494E+01
1.396010E-02  1.90154E+01  0.0000E+00  0.0000E+00  4.2858E-04  4.2858E-04  0.000E+00  8.881E+01
1.492335E-02  1.85856E+01  0.0000E+00  0.0000E+00  5.7971E-04  5.7971E-04  0.000E+00  8.308E+01
1.595306E-02  1.79255E+01  0.0000E+00  0.0000E+00  7.8006E-04  7.8006E-04  0.000E+00  7.772E+01
1.705382E-02  1.67021E+01  0.0000E+00  0.0000E+00  1.0442E-03  1.0442E-03  0.000E+00  7.270E+01
1.803405E-02  1.36882E+01  0.0000E+00  0.0000E+00  1.3278E-03  1.3278E-03  0.000E+00  6.875E+01
1.823053E-02  1.17526E+01  0.0000E+00  0.0000E+00  1.3906E-03  1.3906E-03  0.000E+00  6.801E+01
1.831008E-02  1.01151E+01  0.0000E+00  0.0000E+00  1.4165E-03  1.4165E-03  0.000E+00  6.771E+01
1.838369E-02  5.74963E+00  0.0000E+00  0.0000E+00  1.4409E-03  1.4409E-03  0.000E+00  6.744E+01
1.849410E-02  1.04311E+01  8.6357E+00  8.6550E+04  1.4780E-03  8.6550E+04  0.000E+00  6.704E+01
1.877013E-02  1.45434E+01  8.2993E+00  8.1955E+04  1.5735E-03  8.1955E+04  0.000E+00  6.605E+01
1.948844E-02  1.78163E+01  7.5041E+00  7.1371E+04  1.8423E-03  7.1371E+04  0.000E+00  6.362E+01
2.083314E-02  1.99561E+01  6.2727E+00  5.5808E+04  2.4285E-03  5.5808E+04  0.000E+00  5.951E+01
2.227063E-02  2.06820E+01  5.2323E+00  4.3547E+04  3.1848E-03  4.3547E+04  0.000E+00  5.567E+01
2.380730E-02  2.04120E+01  4.3595E+00  3.3941E+04  4.1558E-03  3.3941E+04  0.000E+00  5.208E+01
2.468140E-02  1.92537E+01  3.9502E+00  2.9665E+04  4.7885E-03  2.9665E+04  0.000E+00  5.023E+01
2.505918E-02  1.72280E+01  3.7897E+00  2.8031E+04  5.0809E-03  2.8031E+04  0.000E+00  4.948E+01
2.515992E-02  1.46607E+01  3.7485E+00  2.7615E+04  5.1608E-03  2.7615E+04  0.000E+00  4.928E+01
2.531103E-02  1.74902E+01  8.8114E+00  6.4526E+04  5.2823E-03  6.4526E+04  0.000E+00  4.898E+01
2.545001E-02  1.88207E+01  8.6675E+00  6.3126E+04  5.3956E-03  6.3126E+04  0.000E+00  4.872E+01
2.568880E-02  2.00133E+01  8.4277E+00  6.0808E+04  5.5942E-03  6.0808E+04  0.000E+00  4.826E+01
2.720606E-02  2.26397E+01  7.0963E+00  4.8347E+04  6.9706E-03  4.8347E+04  0.000E+00  4.557E+01
2.908327E-02  2.36170E+01  5.8464E+00  3.7260E+04  8.9608E-03  3.7260E+04  0.000E+00  4.263E+01
3.109002E-02  2.39791E+01  4.9015E+00  2.9222E+04  1.1463E-02  2.9222E+04  0.000E+00  3.988E+01
3.323523E-02  2.40796E+01  4.1683E+00  2.3247E+04  1.4592E-02  2.3247E+04  0.000E+00  3.731E+01
3.552846E-02  2.40336E+01  3.5844E+00  1.8700E+04  1.8485E-02  1.8700E+04  0.000E+00  3.490E+01
3.797993E-02  2.38786E+01  3.1087E+00  1.5172E+04  2.3304E-02  1.5172E+04  0.000E+00  3.264E+01
3.965432E-02  2.36941E+01  2.8454E+00  1.3300E+04  2.7000E-02  1.3300E+04  0.000E+00  3.127E+01
4.026127E-02  2.35483E+01  2.7596E+00  1.2705E+04  2.8423E-02  1.2705E+04  0.000E+00  3.079E+01
4.042313E-02  2.34121E+01  2.7375E+00  1.2552E+04  2.8810E-02  1.2552E+04  0.000E+00  3.067E+01
4.060054E-02  2.35007E+01  2.9602E+00  1.3514E+04  2.9238E-02  1.3514E+04  0.000E+00  3.054E+01
4.066591E-02  2.35279E+01  2.9500E+00  1.3446E+04  2.9397E-02  1.3446E+04  0.000E+00  3.049E+01
4.127286E-02  2.35965E+01  2.8585E+00  1.2837E+04  3.0895E-02  1.2837E+04  0.000E+00  3.004E+01
4.340198E-02  2.35120E+01  2.5728E+00  1.0987E+04  3.6510E-02  1.0987E+04  0.000E+00  2.857E+01
