"Data"	"Hora"	"Energia"	"Curta"	"Longa"	"Media"	"Ge15"	"Amostra"	"Referencia"	"Fluorescencia"
04/07/12	13:24:15	6919.999938111	214577	1	1	619	12.2764239	0.0000000	2.88474534E-03
04/07/12	13:24:16	6920.499857371	217479	1	1	676	12.2898576	0.0000000	3.10834609E-03
04/07/12	13:24:18	6920.999852077	217676	1	1	649	12.2907630	0.0000000	2.98149543E-03
04/07/12	13:24:19	6921.499922247	217727	1	1	600	12.2909973	0.0000000	2.75574458E-03
04/07/12	13:24:20	6922.000067897	217684	1	1	658	12.2907997	0.0000000	3.02273020E-03
04/07/12	13:24:22	6922.500289045	217642	1	1	618	12.2906068	0.0000000	2.83952546E-03
04/07/12	13:24:23	6922.999774792	217615	1	1	684	12.2904827	0.0000000	3.14316568E-03
04/07/12	13:24:25	6923.500146862	217557	1	1	636	12.2902162	0.0000000	2.92337181E-03
04/07/12	13:24:26	6923.999783321	217600	1	1	642	12.2904138	0.0000000	2.95036765E-03
04/07/12	13:24:28	6924.500306381	217533	1	1	641	12.2901058	0.0000000	2.94667935E-03
04/07/12	13:24:29	6925.000093618	217508	1	1	642	12.2899909	0.0000000	2.95161557E-03
04/07/12	13:24:31	6925.499956209	217452	1	1	610	12.2897334	0.0000000	2.80521678E-03
04/07/12	13:24:32	6925.99989417	217455	1	1	644	12.2897472	0.0000000	2.96153227E-03
04/07/12	13:24:34	6926.499907518	217389	1	1	653	12.2894437	0.0000000	3.00383184E-03
04/07/12	13:24:35	6926.99999627	217307	1	1	694	12.2890664	0.0000000	3.19363849E-03
04/07/12	13:24:36	6927.500160442	217275	1	1	653	12.2889191	0.0000000	3.00540789E-03
04/07/12	13:24:38	6928.000400052	217276	1	1	660	12.2889237	0.0000000	3.03761115E-03
04/07/12	13:24:39	6928.499902855	217349	1	1	650	12.2892596	0.0000000	2.99058197E-03
04/07/12	13:24:41	6929.000293267	217798	1	1	653	12.2913233	0.0000000	2.99819098E-03
04/07/12	13:24:42	6929.499946661	217705	1	1	648	12.2908962	0.0000000	2.97650490E-03
04/07/12	13:24:44	6929.999675315	217766	1	1	598	12.2911764	0.0000000	2.74606688E-03
04/07/12	13:24:45	6930.500291996	218354	1	1	637	12.2938729	0.0000000	2.91728111E-03
04/07/12	13:24:47	6931.000171342	219021	1	1	683	12.2969229	0.0000000	3.11842243E-03
04/07/12	13:24:48	6931.500125998	219689	1	1	658	12.2999682	0.0000000	2.99514313E-03
04/07/12	13:24:50	6932.00015598	219753	1	1	665	12.3002595	0.0000000	3.02612479E-03
04/07/12	13:24:51	6932.500261306	221617	1	1	684	12.3087059	0.0000000	3.08640583E-03
04/07/12	13:24:53	6932.999628629	221301	1	1	710	12.3072790	0.0000000	3.20830001E-03
04/07/12	13:24:54	6933.49988457	219832	1	1	723	12.3006189	0.0000000	3.28887514E-03
04/07/12	13:24:56	6934.000215904	219268	1	1	677	12.2980500	0.0000000	3.08754583E-03
04/07/12	13:24:57	6934.499808918	218395	1	1	626	12.2940606	0.0000000	2.86636599E-03
