 &SRS
 SRSRUN= 48683, SRSDAT=021111, SRSTIM=192725
 SRSSTN='SOX1', SRSPRJ='12345678', SRSEXP='SOXAFS34'
 SRSTLE='H-ZSM-5, Further repeat scans                               '
 SRSCN1='                                                            '
 SRSCN2='                                                            '
 SRSCN3='                                                            '
 &END
 C-----------------------------------------------------------------------------
 C                       SCANS:12    REGIONS: 6
 C            NPNT      START INCREMENT       END    TIMLIM   REFLIM    SIGLIM
 C REGION  1:   11   1550.000     1.000  1561.000     1.333 88000010. 88000010.
 C REGION  2:   49   1561.000      .200  1571.000     5.000 88000010. 88000010.
 C REGION  3:   28   1571.000      .500  1585.000     6.667 88000010. 88000010.
 C REGION  4:   25   1585.000     1.000  1610.000     9.000 99000000. 99000000.
 C REGION  5:   70   1610.000     2.000  1750.000    13.333 99000000. 99000000.
 C REGION  6:   20   1750.000     5.000  1850.000    80.000 99000000. 99000000.
 C-----------------------------------------------------------------------------
 C   ENERGY         TIME       REFER      SIGNAL1      SIGNAL2      SIGNAL3      ENCODER
    1550.001         1.33        7278.       11553.          13.           0.   -275136.
    1550.991         1.33        7363.       11402.          20.           0.   -275552.
    1551.993         1.33        7588.       11508.          20.           0.   -275972.
    1552.995         1.33        7555.       11590.          26.           0.   -276392.
    1554.000         1.33        7660.       11625.          28.           0.   -276812.
    1555.004         1.33        7778.       11440.          17.           0.   -277231.
    1556.002         1.33        7444.       11620.          19.           0.   -277647.
    1557.010         1.33        7516.       11398.          18.           0.   -278066.
    1558.004         1.33        7637.       11490.          15.           0.   -278479.
    1559.003         1.33        7626.       11420.          23.           0.   -278893.
    1560.003         1.33        7678.       11587.          22.           0.   -279307.
    1561.005         1.33        7739.       11569.          18.           0.   -279721.
    1561.191         5.00       29169.       43258.          80.           0.   -279798.
    1561.407         5.00       28705.       43714.          82.           0.   -279887.
    1561.605         5.00       28123.       43204.          66.           0.   -279969.
    1561.799         5.00       27965.       43113.          67.           0.   -280049.
    1562.001         5.00       28015.       42899.          75.           0.   -280132.
    1562.202         5.00       27655.       43915.          85.           0.   -280215.
    1562.396         5.00       27236.       43941.          75.           0.   -280295.
    1562.600         5.00       27228.       44114.          79.           0.   -280379.
    1562.792         5.00       27882.       44219.          80.           0.   -280458.
    1562.998         5.00       27719.       43428.          85.           0.   -280543.
    1563.198         5.00       27719.       43912.          80.           0.   -280625.
    1563.397         5.00       28239.       43890.          71.           0.   -280707.
    1563.601         5.00       28336.       44157.          92.           0.   -280791.
    1563.811         5.00       28067.       44298.         100.           0.   -280877.
    1564.003         5.00       27238.       44250.         104.           0.   -280956.
    1564.205         5.00       28219.       43929.         115.           0.   -281039.
    1564.397         5.00       27952.       43910.         107.           0.   -281118.
    1564.594         5.00       28349.       43483.         125.           0.   -281199.
    1564.799         5.00       28462.       43917.         136.           0.   -281283.
    1564.994         5.00       28055.       44821.         126.           0.   -281363.
    1565.199         5.00       27422.       45105.         160.           0.   -281447.
    1565.406         5.00       27607.       44114.         177.           0.   -281532.
    1565.601         5.00       28052.       44106.         218.           0.   -281612.
    1565.789         5.00       28644.       44299.         249.           0.   -281689.
    1566.004         5.00       28963.       44369.         301.           0.   -281777.
    1566.199         5.00       28912.       43997.         351.           0.   -281857.
    1566.397         5.00       28631.       43764.         354.           0.   -281938.
    1566.595         5.00       28446.       43591.         423.           0.   -282019.
    1566.791         5.00       27756.       42852.         439.           0.   -282099.
    1567.003         5.00       27441.       42819.         462.           0.   -282186.
    1567.194         5.00       27600.       43258.         445.           0.   -282264.
    1567.395         5.00       28130.       43285.         467.           0.   -282346.
    1567.598         5.00       28279.       43116.         444.           0.   -282429.
    1567.791         5.00       27781.       43524.         470.           0.   -282508.
    1568.002         5.00       28638.       43804.         460.           0.   -282594.
    1568.203         5.00       28789.       42577.         437.           0.   -282676.
    1568.389         5.00       28548.       42412.         444.           0.   -282752.
    1568.585         5.00       27999.       42984.         431.           0.   -282832.
    1568.794         5.00       27614.       42121.         377.           0.   -282917.
    1569.000         5.00       27759.       42568.         360.           0.   -283001.
    1569.208         5.00       28141.       42986.         327.           0.   -283086.
    1569.387         5.00       28358.       43382.         328.           0.   -283159.
    1569.601         5.00       28386.       43282.         300.           0.   -283246.
    1569.797         5.00       28507.       43053.         317.           0.   -283326.
    1569.999         5.00       27923.       42786.         308.           0.   -283408.
    1570.188         5.00       27733.       42996.         300.           0.   -283485.
    1570.405         5.00       27632.       43200.         285.           0.   -283573.
    1570.589         5.00       27804.       42989.         271.           0.   -283648.
    1570.808         5.00       27493.       43069.         278.           0.   -283737.
    1570.985         5.00       27436.       42625.         249.           0.   -283809.
    1571.492         6.67       36643.       57427.         395.           0.   -284015.
    1571.985         6.67       36461.       57370.         403.           0.   -284215.
    1572.496         6.67       36460.       57350.         386.           0.   -284422.
    1572.997         6.67       37073.       58399.         390.           0.   -284625.
    1573.498         6.67       37370.       58665.         388.           0.   -284828.
    1574.000         6.67       37135.       59139.         400.           0.   -285031.
    1574.502         6.67       37196.       59028.         410.           0.   -285234.
    1575.000         6.67       37691.       57976.         372.           0.   -285435.
    1575.505         6.67       37377.       57066.         381.           0.   -285639.
    1575.998         6.67       37654.       56238.         338.           0.   -285838.
    1576.497         6.67       37876.       56757.         372.           0.   -286039.
    1577.004         6.67       37713.       56279.         353.           0.   -286243.
    1577.496         6.67       37465.       56276.         394.           0.   -286441.
    1578.001         6.67       38332.       56438.         361.           0.   -286644.
    1578.501         6.67       38223.       55924.         374.           0.   -286845.
    1579.002         6.67       38668.       56102.         365.           0.   -287046.
    1579.498         6.67       38440.       56009.         364.           0.   -287245.
    1580.002         6.67       38733.       57258.         388.           0.   -287447.
    1580.497         6.67       38804.       60327.         350.           0.   -287645.
    1581.006         6.67       38371.       61788.         368.           0.   -287849.
    1581.499         6.67       38465.       59388.         361.           0.   -288046.
    1582.007         6.67       37493.       59128.         388.           0.   -288249.
    1582.503         6.67       37318.       58057.         390.           0.   -288447.
    1583.002         6.67       37804.       57998.         392.           0.   -288646.
    1583.506         6.67       37207.       58309.         418.           0.   -288847.
    1583.998         6.67       37057.       58342.         398.           0.   -289043.
    1584.508         6.67       36713.       59524.         375.           0.   -289246.
    1585.004         6.67       36894.       59731.         371.           0.   -289443.
    1586.008         9.00       50322.       81002.         543.           0.   -289842.
    1587.004         9.00       51922.       80718.         496.           0.   -290237.
    1588.004         9.00       50849.       80002.         489.           0.   -290633.
    1588.998         9.00       50684.       79396.         474.           0.   -291026.
    1589.998         9.00       50736.       78920.         403.           0.   -291421.
    1591.002         9.00       50885.       79526.         466.           0.   -291817.
    1591.998         9.00       50845.       79901.         415.           0.   -292209.
    1592.998         9.00       51047.       79712.         421.           0.   -292602.
    1593.997         9.00       51460.       79392.         415.           0.   -292994.
    1594.992         9.00       51509.       78794.         402.           0.   -293384.
    1595.993         9.00       50642.       79092.         414.           0.   -293776.
    1596.994         9.00       50852.       79726.         382.           0.   -294167.
    1597.988         9.00       51566.       80200.         372.           0.   -294555.
    1599.000         9.00       51150.       79139.         381.           0.   -294949.
    1600.000         9.00       51161.       78979.         390.           0.   -295338.
    1601.001         9.00       49961.       78565.         364.           0.   -295727.
    1601.996         9.00       50309.       80118.         375.           0.   -296113.
    1602.987         9.00       49793.       81753.         397.           0.   -296497.
    1604.001         9.00       49897.       80945.         401.           0.   -296889.
    1605.008         9.00       49546.       80338.         352.           0.   -297278.
    1605.993         9.00       49070.       80986.         362.           0.   -297658.
    1607.003         9.00       49838.       82319.         360.           0.   -298047.
    1608.007         9.00       49567.       82283.         355.           0.   -298433.
    1608.999         9.00       50482.       81357.         376.           0.   -298814.
    1610.001         9.00       50327.       81794.         385.           0.   -299198.
    1612.016        13.33       74853.      121757.         554.           0.   -299969.
    1613.997        13.33       76659.      120992.         490.           0.   -300725.
    1616.005        13.33       76717.      120015.         573.           0.   -301489.
    1618.008        13.33       74371.      121830.         571.           0.   -302249.
    1620.014        13.33       74407.      121155.         588.           0.   -303008.
    1622.009        13.33       77463.      120315.         579.           0.   -303761.
    1624.010        13.33       76098.      119445.         607.           0.   -304514.
    1625.990        13.33       74987.      122977.         565.           0.   -305257.
    1627.997        13.33       75696.      125032.         528.           0.   -306008.
    1630.001        13.33       77994.      125044.         574.           0.   -306756.
    1631.997        13.33       77114.      122777.         600.           0.   -307499.
    1633.998        13.33       77359.      125045.         581.           0.   -308242.
    1636.008        13.33       76940.      125378.         579.           0.   -308986.
    1638.014        13.33       77297.      125247.         610.           0.   -309727.
    1640.004        13.33       75707.      124104.         635.           0.   -310460.
    1642.016        13.33       77588.      124559.         600.           0.   -311199.
    1644.006        13.33       74841.      123505.         547.           0.   -311928.
    1646.003        13.33       74016.      122989.         561.           0.   -312658.
    1648.001        13.33       76296.      123779.         574.           0.   -313386.
    1650.008        13.33       76541.      124601.         548.           0.   -314116.
    1651.988        13.33       76277.      124929.         566.           0.   -314834.
    1653.984        13.33       76037.      125348.         551.           0.   -315556.
    1655.999        13.33       75166.      125985.         546.           0.   -316283.
    1657.994        13.33       77047.      127531.         547.           0.   -317001.
    1660.008        13.33       76510.      124981.         503.           0.   -317724.
    1662.016        13.33       75868.      123676.         477.           0.   -318443.
    1664.000        13.33       74677.      122580.         541.           0.   -319152.
    1666.015        13.33       75910.      123199.         577.           0.   -319870.
    1668.010        13.33       74931.      123816.         551.           0.   -320579.
    1669.998        13.33       74942.      125175.         486.           0.   -321284.
    1672.002        13.33       75793.      123467.         530.           0.   -321993.
    1673.991        13.33       75640.      125702.         488.           0.   -322695.
    1676.002        13.33       74875.      126620.         511.           0.   -323403.
    1677.984        13.33       75168.      127949.         517.           0.   -324099.
    1679.993        13.33       75822.      126726.         461.           0.   -324803.
    1681.990        13.33       77811.      127318.         501.           0.   -325501.
    1684.000        13.33       77135.      126656.         492.           0.   -326202.
    1685.991        13.33       76642.      125116.         509.           0.   -326895.
    1688.008        13.33       76151.      125123.         483.           0.   -327595.
    1690.012        13.33       76318.      129315.         452.           0.   -328289.
    1691.997        13.33       77245.      132080.         528.           0.   -328975.
    1693.993        13.33       77442.      130351.         516.           0.   -329663.
    1696.002        13.33       78257.      128767.         501.           0.   -330354.
    1698.010        13.33       77659.      126709.         511.           0.   -331043.
    1699.998        13.33       76607.      126401.         462.           0.   -331724.
    1701.986        13.33       77681.      124735.         511.           0.   -332403.
    1703.998        13.33       76421.      125582.         464.           0.   -333089.
    1706.004        13.33       76231.      128450.         483.           0.   -333771.
    1707.999        13.33       76080.      127338.         481.           0.   -334448.
    1710.007        13.33       75634.      128241.         489.           0.   -335128.
    1711.987        13.33       74615.      126021.         479.           0.   -335797.
    1714.004        13.33       75234.      125143.         494.           0.   -336477.
    1716.010        13.33       75866.      121999.         499.           0.   -337152.
    1718.006        13.33       76007.      122368.         492.           0.   -337822.
    1720.009        13.33       76473.      123051.         467.           0.   -338493.
    1722.005        13.33       76843.      123559.         557.           0.   -339160.
    1724.014        13.33       76208.      122984.         547.           0.   -339830.
    1726.000        13.33       77624.      122609.         512.           0.   -340491.
    1727.996        13.33       78227.      122152.         490.           0.   -341154.
    1729.990        13.33       77301.      121590.         457.           0.   -341815.
    1731.992        13.33       75578.      122108.         511.           0.   -342477.
    1734.007        13.33       75130.      124125.         490.           0.   -343142.
    1735.983        13.33       74134.      126858.         531.           0.   -343793.
    1738.009        13.33       77429.      126462.         508.           0.   -344459.
    1739.997        13.33       77779.      127781.         495.           0.   -345111.
    1742.004        13.33       76598.      126804.         459.           0.   -345768.
    1744.000        13.33       77519.      128174.         479.           0.   -346420.
    1745.987        13.33       76275.      128511.         460.           0.   -347068.
    1748.009        13.33       75770.      129198.         541.           0.   -347726.
    1750.008        13.33       75923.      129373.         489.           0.   -348375.
    1755.005        80.00      462363.      778570.        2951.           0.   -349992.
    1760.011        80.00      448347.      790335.        2894.           0.   -351604.
    1764.997        80.00      436052.      792667.        2950.           0.   -353202.
    1769.999        80.00      446701.      801045.        2889.           0.   -354797.
    1774.998        80.00      463150.      765954.        2848.           0.   -356384.
    1780.016        80.00      462740.      764646.        2854.           0.   -357969.
