XDAC V1.4 Datafile V1
"srmndead.006" created on 2/6/09 at 10:38:38 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 6539.00
NUM_REGIONS= 3
SRB= -50 -10 30 100
SRSS= 1 .3 1
SPP= 1 1 1
Settling time= 0.10


Offsets= 120.90 86.30 0.00 0.00 1.00 0.00 1.00 1.00 2.00 1.00 1.00 1.00 1.00 1.00
Gains= 8.00 9.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00



--------------------------------------------------------------------------------
        Energy            I0            It          If20          If21          If22          If23          If24          If25          If26          If27          If30          If31          If32          If33
    6488.99944    12065.1000      793.7000     2275.0000     3030.0000     1105.0000     1817.0000    33949.0000    37951.0000    31078.0000    30092.0000    34307.0000    39406.0000    31415.0000    30407.0000
    6490.00085    12078.1000      795.7000     2375.0000     3014.0000     1139.0000     1762.0000    34268.0000    37666.0000    31422.0000    29849.0000    34639.0000    39202.0000    31733.0000    30152.0000
    6490.99841    12091.1000      796.7000     2466.0000     2991.0000     1069.0000     1857.0000    34715.0000    37531.0000    31314.0000    30060.0000    35122.0000    39109.0000    31652.0000    30370.0000
    6492.00030    12106.1000      799.7000     2476.0000     3020.0000     1080.0000     1887.0000    34614.0000    38152.0000    31091.0000    30196.0000    35026.0000    39695.0000    31444.0000    30520.0000
    6492.99833    12116.1000      801.7000     2590.0000     3092.0000     1086.0000     1794.0000    34642.0000    37984.0000    31390.0000    30117.0000    35033.0000    39488.0000    31723.0000    30454.0000
    6494.00068    12128.1000      804.7000     2487.0000     3154.0000     1187.0000     1828.0000    34728.0000    38086.0000    31671.0000    30041.0000    35133.0000    39627.0000    32047.0000    30344.0000
    6494.99918    12139.1000      805.7000     2643.0000     3094.0000     1131.0000     1862.0000    34620.0000    38428.0000    31486.0000    29863.0000    34979.0000    39954.0000    31806.0000    30167.0000
    6496.00200    12149.1000      807.7000     2667.0000     3237.0000     1171.0000     1799.0000    34628.0000    38249.0000    31529.0000    30118.0000    35091.0000    39851.0000    31824.0000    30453.0000
    6497.00096    12160.1000      809.7000     2611.0000     3177.0000     1219.0000     1899.0000    34637.0000    38193.0000    31621.0000    29990.0000    35055.0000    39822.0000    31954.0000    30315.0000
    6498.00016    12169.1000      810.7000     2684.0000     3242.0000     1248.0000     1928.0000    35051.0000    38172.0000    32033.0000    30547.0000    35456.0000    39786.0000    32340.0000    30888.0000
    6498.99959    12176.1000      812.7000     2633.0000     3275.0000     1237.0000     1954.0000    34726.0000    38453.0000    31857.0000    30362.0000    35133.0000    39957.0000    32164.0000    30692.0000
    6499.99925    12186.1000      813.7000     2793.0000     3411.0000     1256.0000     1848.0000    35400.0000    38639.0000    31841.0000    30956.0000    35812.0000    40150.0000    32163.0000    31273.0000
    6500.99914    12195.1000      815.7000     2829.0000     3354.0000     1253.0000     1905.0000    35388.0000    38773.0000    31794.0000    30718.0000    35843.0000    40366.0000    32129.0000    31050.0000
